label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity
MINIMAL-t0.3-2of5,20,0.5122,0.4531,0.5691,0.3589,0.3046,0.415,0.8943,0.8565,0.9273,0.0666,-0.0228,0.1527,0.93,0.1084
MINIMAL-t0.3-2of5,30,0.5201,0.461,0.5769,0.3644,0.31,0.4208,0.908,0.872,0.9399,0.0666,-0.0228,0.1527,0.93,0.1084
MINIMAL-t0.3-2of5,40,0.5253,0.4664,0.5822,0.3681,0.3135,0.4249,0.9172,0.8834,0.9468,0.0666,-0.0228,0.1527,0.93,0.1084
MINIMAL-t0.3-2of5,50,0.5253,0.4664,0.5822,0.3681,0.3135,0.4249,0.9172,0.8834,0.9468,0.0666,-0.0228,0.1527,0.93,0.1084
