temperature,pool_size,threshold,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
T0.0,5,1,0.5141,0.3904,0.7526,0.3765,0.5897,0.2778,0.4879,0.5714,0.7912,187
T0.0,5,2,0.5517,0.439,0.7423,0.402,0.6295,0.3095,0.5446,0.5581,0.7805,164
T0.0,5,3,0.6389,0.5798,0.7113,0.4851,0.708,0.438,0.6853,0.5268,0.7568,119
T0.0,5,4,0.6566,0.6436,0.6701,0.5085,0.7111,0.5062,0.7442,0.5108,0.7073,101
T0.0,5,5,0.6489,0.6703,0.6289,0.5083,0.7021,0.5362,0.7692,0.4731,0.6742,91
T0.0,10,1,0.4895,0.3704,0.7216,0.3605,0.5664,0.2649,0.4636,0.5393,0.77,189
T0.0,10,2,0.4965,0.3784,0.7216,0.3636,0.5787,0.268,0.4762,0.5393,0.77,185
T0.0,10,3,0.575,0.4825,0.7113,0.4271,0.6562,0.3511,0.5915,0.5263,0.7634,143
T0.0,10,4,0.575,0.4825,0.7113,0.4271,0.6562,0.3511,0.5915,0.5263,0.7634,143
T0.0,10,5,0.5887,0.5075,0.701,0.4394,0.6643,0.3779,0.6191,0.522,0.7475,134
T0.0,10,6,0.5913,0.5113,0.701,0.4423,0.6667,0.3784,0.6232,0.522,0.7475,133
T0.0,10,7,0.628,0.5909,0.6701,0.479,0.6964,0.4524,0.7059,0.5,0.7117,110
T0.0,10,8,0.628,0.5909,0.6701,0.479,0.6964,0.4524,0.7059,0.5,0.7117,110
T0.0,10,9,0.6349,0.6522,0.6186,0.4852,0.7016,0.5068,0.7647,0.4512,0.6667,92
T0.0,10,10,0.6129,0.6404,0.5876,0.4711,0.6802,0.5,0.7501,0.4266,0.65,89
T0.3,5,1,0.4724,0.3362,0.7938,0.3475,0.5509,0.2353,0.4292,0.6216,0.8171,229
T0.3,5,2,0.5625,0.4528,0.7423,0.4314,0.6246,0.3411,0.54,0.573,0.7778,159
T0.3,5,3,0.6168,0.5641,0.6804,0.4736,0.6787,0.4285,0.6667,0.5143,0.7115,117
T0.3,5,4,0.6387,0.6489,0.6289,0.5036,0.699,0.5199,0.7619,0.4752,0.6691,94
T0.3,5,5,0.6316,0.7297,0.5567,0.4905,0.6939,0.5965,0.8354,0.41,0.6121,74
T0.3,10,1,0.4365,0.2981,0.8144,0.3119,0.5206,0.2022,0.3896,0.64,0.8352,265
T0.3,10,2,0.5175,0.3915,0.7629,0.3928,0.5855,0.2887,0.4788,0.6,0.79,189
T0.3,10,3,0.5489,0.432,0.7526,0.4188,0.6175,0.3174,0.5319,0.5849,0.7863,169
T0.3,10,4,0.5656,0.4694,0.7113,0.4175,0.6424,0.3364,0.5714,0.5217,0.7604,147
T0.3,10,5,0.5939,0.5152,0.701,0.4458,0.6667,0.3878,0.6222,0.5208,0.7459,132
T0.3,10,6,0.622,0.5804,0.6701,0.4762,0.6913,0.4466,0.6891,0.5051,0.7108,112
T0.3,10,7,0.6169,0.5962,0.6392,0.481,0.6796,0.4631,0.7044,0.4833,0.678,104
T0.3,10,8,0.6421,0.6559,0.6289,0.5089,0.6982,0.5238,0.7607,0.4747,0.6757,93
T0.3,10,9,0.6409,0.6905,0.5979,0.5058,0.7,0.5625,0.8024,0.4453,0.6437,84
T0.3,10,10,0.5963,0.75,0.4948,0.4554,0.6598,0.6226,0.8551,0.3511,0.5545,64
T0.7,5,1,0.378,0.2535,0.7423,0.2684,0.4596,0.1748,0.3333,0.55,0.7826,284
T0.7,5,2,0.5403,0.4437,0.6907,0.3945,0.6115,0.3248,0.5381,0.5,0.7349,151
T0.7,5,3,0.607,0.5865,0.6289,0.4468,0.6755,0.4375,0.7,0.4565,0.6715,104
T0.7,5,4,0.5838,0.6136,0.5567,0.4246,0.6522,0.4583,0.7283,0.3919,0.6071,88
T0.7,5,5,0.4968,0.65,0.4021,0.3529,0.5758,0.4893,0.7761,0.2717,0.463,60
T0.7,10,1,0.3017,0.1886,0.7526,0.2098,0.3764,0.1274,0.2507,0.5566,0.7942,387
T0.7,10,2,0.459,0.3365,0.7216,0.3302,0.5275,0.2375,0.4146,0.5293,0.7634,208
T0.7,10,3,0.5234,0.4214,0.6907,0.383,0.5959,0.2985,0.5213,0.5094,0.7315,159
T0.7,10,4,0.5565,0.4812,0.6598,0.4024,0.6324,0.3423,0.5879,0.4836,0.6978,133
T0.7,10,5,0.6,0.5575,0.6495,0.4432,0.6739,0.4047,0.6721,0.4778,0.6916,113
T0.7,10,6,0.6186,0.6186,0.6186,0.4564,0.6878,0.4639,0.7273,0.4375,0.6718,97
T0.7,10,7,0.6096,0.6333,0.5876,0.4535,0.6774,0.4805,0.7457,0.4198,0.6357,90
T0.7,10,8,0.5977,0.6753,0.5361,0.4426,0.6531,0.5238,0.785,0.3793,0.5834,77
T0.7,10,9,0.5366,0.6567,0.4536,0.4094,0.5877,0.5091,0.7703,0.3297,0.4945,67
T0.7,10,10,0.4225,0.6667,0.3093,0.2973,0.4971,0.5,0.8043,0.2,0.375,45
T1.0,5,1,0.3541,0.2305,0.7629,0.2507,0.4329,0.1565,0.3039,0.5867,0.8017,321
T1.0,5,2,0.5492,0.4558,0.6907,0.4157,0.6181,0.3385,0.5527,0.5246,0.7304,147
T1.0,5,3,0.59,0.5728,0.6082,0.4492,0.6563,0.4479,0.6769,0.449,0.6522,103
T1.0,5,4,0.5714,0.6118,0.5361,0.4408,0.6326,0.4776,0.7217,0.3905,0.5778,85
T1.0,5,5,0.4823,0.7727,0.3505,0.3478,0.5405,0.6154,0.9,0.2353,0.4024,44
T1.0,10,1,0.2796,0.1692,0.8041,0.1928,0.3458,0.1116,0.2218,0.6196,0.836,461
T1.0,10,2,0.4675,0.3412,0.7423,0.3401,0.5407,0.2386,0.4274,0.549,0.7883,211
T1.0,10,3,0.5556,0.4516,0.7216,0.4162,0.6284,0.3333,0.5523,0.5352,0.762,155
T1.0,10,4,0.5804,0.5118,0.6701,0.4379,0.6494,0.3809,0.6129,0.4889,0.7222,127
T1.0,10,5,0.5865,0.5495,0.6289,0.4465,0.6514,0.4231,0.6514,0.4637,0.6719,111
T1.0,10,6,0.6051,0.602,0.6082,0.4559,0.6699,0.4681,0.7108,0.4368,0.6526,98
T1.0,10,7,0.5829,0.6538,0.5258,0.4432,0.6422,0.5147,0.7703,0.3809,0.5714,78
T1.0,10,8,0.5882,0.6849,0.5155,0.4505,0.6481,0.5373,0.8023,0.378,0.5583,73
T1.0,10,9,0.5584,0.7544,0.4433,0.4166,0.6211,0.6034,0.8727,0.3084,0.5001,57
T1.0,10,10,0.406,0.75,0.2784,0.2908,0.4615,0.5999,0.8947,0.1839,0.3218,36
T1.3,5,1,0.3246,0.2061,0.7629,0.2211,0.4032,0.137,0.2718,0.5632,0.8175,359
T1.3,5,2,0.5,0.4106,0.6392,0.3495,0.5946,0.2822,0.5218,0.44,0.7131,151
T1.3,5,3,0.551,0.5455,0.5567,0.3891,0.6325,0.3906,0.6667,0.3788,0.6179,99
T1.3,5,4,0.5342,0.6719,0.4433,0.3675,0.6172,0.5088,0.7977,0.2778,0.5114,64
T1.3,5,5,0.4148,0.7368,0.2887,0.2706,0.5,0.5666,0.8824,0.1747,0.3637,38
T1.3,10,1,0.2469,0.1452,0.8247,0.171,0.3119,0.0983,0.1927,0.617,0.8727,551
T1.3,10,2,0.4286,0.3013,0.7423,0.3214,0.4975,0.2197,0.3729,0.5556,0.7865,239
T1.3,10,3,0.5132,0.4048,0.701,0.3732,0.5994,0.2896,0.5052,0.5122,0.7627,168
T1.3,10,4,0.565,0.5,0.6495,0.4099,0.6502,0.3596,0.62,0.4625,0.7097,126
T1.3,10,5,0.5859,0.5743,0.5979,0.4232,0.6667,0.4203,0.6931,0.4209,0.6587,101
T1.3,10,6,0.5632,0.6364,0.5052,0.4223,0.6301,0.4927,0.7468,0.3579,0.5544,77
T1.3,10,7,0.5217,0.6562,0.433,0.3866,0.5895,0.5,0.7761,0.3014,0.4944,64
T1.3,10,8,0.5166,0.7222,0.4021,0.375,0.5871,0.5714,0.8387,0.2727,0.4608,54
T1.3,10,9,0.4179,0.7568,0.2887,0.2819,0.5032,0.6,0.8929,0.1781,0.3591,37
T1.3,10,10,0.314,0.7917,0.1959,0.193,0.4167,0.625,0.9524,0.1111,0.2759,24
