threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,1551,0.1702,0.8276,0.2824,0.2398,0.3303,0.1406,0.2054,0.7789,0.8722
0.05,1141,0.2296,0.8213,0.3589,0.314,0.4074,0.1946,0.2681,0.7704,0.8653
0.1,864,0.3032,0.8213,0.4429,0.3975,0.4869,0.266,0.3418,0.7704,0.8653
0.15,669,0.3767,0.79,0.5101,0.4641,0.5546,0.3359,0.4169,0.7353,0.8421
0.2,656,0.3826,0.7868,0.5149,0.4677,0.5603,0.3405,0.4237,0.7329,0.8397
0.25,595,0.4034,0.7524,0.5252,0.4805,0.5718,0.3625,0.4465,0.6951,0.8072
0.3,595,0.4034,0.7524,0.5252,0.4805,0.5718,0.3625,0.4465,0.6951,0.8072
0.35,588,0.4048,0.7461,0.5248,0.4814,0.5704,0.3638,0.4482,0.689,0.8019
0.4,588,0.4048,0.7461,0.5248,0.4814,0.5704,0.3638,0.4482,0.689,0.8019
0.45,554,0.4116,0.7147,0.5223,0.4777,0.5684,0.3703,0.4558,0.6583,0.7692
0.5,554,0.4116,0.7147,0.5223,0.4777,0.5684,0.3703,0.4558,0.6583,0.7692
0.55,554,0.4116,0.7147,0.5223,0.4777,0.5684,0.3703,0.4558,0.6583,0.7692
0.6,554,0.4116,0.7147,0.5223,0.4777,0.5684,0.3703,0.4558,0.6583,0.7692
0.65,554,0.4116,0.7147,0.5223,0.4777,0.5684,0.3703,0.4558,0.6583,0.7692
0.7,553,0.4123,0.7147,0.5229,0.4788,0.5685,0.3716,0.4571,0.6583,0.7692
0.75,549,0.4135,0.7116,0.523,0.4774,0.5681,0.3724,0.4585,0.6542,0.7652
0.8,543,0.4162,0.7085,0.5244,0.4781,0.5702,0.3745,0.4617,0.6516,0.7625
0.85,540,0.4167,0.7053,0.5239,0.4772,0.5705,0.3742,0.4625,0.6475,0.7595
0.9,472,0.4174,0.6176,0.4981,0.4499,0.545,0.3698,0.4677,0.557,0.6782
0.95,471,0.4183,0.6176,0.4987,0.4509,0.5457,0.3713,0.4683,0.557,0.6782
1.0,326,0.4233,0.4326,0.4279,0.3773,0.4796,0.3634,0.4811,0.372,0.4937
