temperature,pool_size,threshold,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
T0.3,5,1,0.5695,0.4269,0.8553,0.5033,0.63,0.3591,0.4949,0.8088,0.8973,1080
T0.3,5,2,0.6446,0.5264,0.8312,0.5884,0.6919,0.4627,0.5851,0.7824,0.8765,851
T0.3,5,3,0.6692,0.5726,0.8052,0.6143,0.7174,0.5044,0.6302,0.7537,0.8539,758
T0.3,5,4,0.6764,0.5986,0.7774,0.622,0.724,0.5345,0.6543,0.7236,0.8299,700
T0.3,5,5,0.6855,0.6527,0.7217,0.635,0.7304,0.5933,0.7081,0.6648,0.775,596
T0.3,10,1,0.5192,0.3731,0.8534,0.4532,0.5852,0.3109,0.4404,0.8023,0.8976,1233
T0.3,10,2,0.6053,0.4706,0.8479,0.5445,0.6605,0.408,0.5331,0.7968,0.8932,971
T0.3,10,3,0.6407,0.5183,0.8386,0.5844,0.6901,0.455,0.5787,0.7858,0.8857,872
T0.3,10,4,0.6549,0.5419,0.8275,0.5988,0.7039,0.4757,0.6022,0.776,0.8738,823
T0.3,10,5,0.6672,0.5659,0.8126,0.6126,0.7155,0.5006,0.6248,0.7597,0.8612,774
T0.3,10,6,0.6703,0.577,0.7996,0.6139,0.7182,0.5123,0.6345,0.7474,0.8501,747
T0.3,10,7,0.6811,0.6006,0.7866,0.6261,0.7297,0.535,0.6563,0.733,0.8378,706
T0.3,10,8,0.6871,0.6203,0.7699,0.6326,0.7329,0.5579,0.6756,0.7143,0.8238,669
T0.3,10,9,0.6821,0.6352,0.7365,0.6317,0.7261,0.5722,0.6904,0.6807,0.7905,625
T0.3,10,10,0.6821,0.6796,0.6846,0.6275,0.7302,0.6155,0.7355,0.6232,0.7402,543
T0.3,30,1,0.4236,0.2803,0.8664,0.3539,0.4899,0.2226,0.3406,0.8187,0.9077,1666
T0.3,30,2,0.5316,0.3853,0.8571,0.467,0.5906,0.3249,0.4471,0.8081,0.9011,1199
T0.3,30,3,0.5676,0.4251,0.8534,0.5068,0.6286,0.3644,0.4894,0.8034,0.8968,1082
T0.3,30,4,0.5897,0.452,0.8479,0.5296,0.6477,0.3915,0.5176,0.7964,0.8935,1011
T0.3,30,5,0.6134,0.4805,0.8479,0.5543,0.6693,0.4175,0.5448,0.7964,0.8935,951
T0.3,30,6,0.6256,0.4957,0.8479,0.566,0.6797,0.4323,0.5599,0.7964,0.8935,922
T0.3,30,7,0.6306,0.5033,0.8442,0.571,0.6827,0.441,0.5646,0.7913,0.8899,904
T0.3,30,8,0.6398,0.5165,0.8404,0.5815,0.6926,0.4528,0.5773,0.7879,0.888,877
T0.3,30,9,0.6485,0.528,0.8404,0.5899,0.7003,0.4642,0.5889,0.7879,0.888,858
T0.3,30,10,0.6531,0.5356,0.8367,0.5951,0.7056,0.4693,0.5969,0.7844,0.8843,842
T0.3,30,11,0.6598,0.547,0.8312,0.6032,0.7094,0.4823,0.6076,0.7794,0.8799,819
T0.3,30,12,0.6642,0.5556,0.8256,0.6081,0.7128,0.4907,0.6165,0.7734,0.8727,801
T0.3,30,13,0.6677,0.5622,0.8219,0.6131,0.7155,0.4959,0.6228,0.7709,0.8693,788
T0.3,30,14,0.6672,0.565,0.8145,0.6102,0.7162,0.498,0.6252,0.7616,0.8655,777
T0.3,30,15,0.6713,0.5709,0.8145,0.6161,0.7201,0.5027,0.6313,0.7616,0.8655,769
T0.3,30,16,0.6739,0.5775,0.8089,0.6177,0.7207,0.5108,0.6378,0.756,0.8572,755
T0.3,30,17,0.6765,0.5833,0.8052,0.6215,0.7229,0.5183,0.6422,0.7526,0.8542,744
T0.3,30,18,0.6808,0.5907,0.8033,0.6267,0.7277,0.5244,0.6488,0.7495,0.8532,733
T0.3,30,19,0.6831,0.5983,0.7959,0.6286,0.7291,0.5316,0.6545,0.7416,0.8484,717
T0.3,30,20,0.6849,0.6043,0.7904,0.6304,0.7309,0.5378,0.6624,0.736,0.8409,705
T0.3,30,21,0.6856,0.6086,0.7848,0.6318,0.7305,0.5443,0.6671,0.7311,0.8355,695
T0.3,30,22,0.6908,0.6217,0.7774,0.6359,0.7364,0.5562,0.679,0.7235,0.8271,674
T0.3,30,23,0.6921,0.6261,0.7737,0.6374,0.7393,0.5622,0.6828,0.7186,0.8239,666
T0.3,30,24,0.6906,0.6286,0.7662,0.6363,0.7378,0.5656,0.6852,0.7117,0.8182,657
T0.3,30,25,0.6887,0.633,0.7551,0.6341,0.7355,0.5701,0.6892,0.7013,0.8109,643
