label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper
HIGH-t0.3-6of10,20,0.7074,0.6637,0.7467,0.6524,0.6049,0.6977,0.7724,0.7266,0.8184
HIGH-t0.3-6of10,30,0.7811,0.7445,0.8128,0.7204,0.6723,0.7627,0.8529,0.8157,0.8935
HIGH-t0.3-6of10,40,0.8105,0.7751,0.8396,0.7476,0.6995,0.7892,0.8851,0.848,0.9233
HIGH-t0.3-6of10,50,0.8168,0.7822,0.8452,0.7534,0.7062,0.794,0.892,0.8568,0.9281
