,precision,recall,f1
count,30.0,30.0,30.0
mean,0.6850421970525363,0.8138364779874213,0.7415743585159582
std,0.09013642864783629,0.05687062091009756,0.06843108371755298
min,0.45454545454545453,0.6037735849056604,0.5614035087719299
25%,0.6521577380952381,0.7924528301886793,0.7179487179487181
50%,0.6642156862745098,0.8301886792452831,0.7478967833156592
75%,0.7286535303776682,0.8490566037735849,0.7805900621118014
max,0.9,0.8679245283018868,0.8737864077669903
