label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
min11,5,0.4126,0.3576,0.4669,0.437,0.3787,0.4935,0.3908,0.3368,0.4459,0.8068,0.7542,0.853,0.8079,0.9806,sparse_cross_grid,True,0.5585215605749486,487,zero_fraction_heuristic,
min11,10,0.75,0.7063,0.7895,0.7943,0.7486,0.8376,0.7103,0.6601,0.755,0.8068,0.7542,0.853,0.8079,0.9806,sparse_cross_grid,True,0.5728952772073922,487,zero_fraction_heuristic,
min11,15,0.8422,0.8055,0.8749,0.892,0.8557,0.9229,0.7977,0.75,0.839,0.8068,0.7542,0.853,0.8079,0.9806,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
min11,20,0.8835,0.8549,0.9084,0.9357,0.9057,0.9578,0.8368,0.7948,0.8732,0.8068,0.7542,0.853,0.8079,0.9806,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
min11,25,0.8932,0.8655,0.9168,0.946,0.9176,0.9662,0.846,0.8038,0.8817,0.8068,0.7542,0.853,0.8079,0.9806,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
min11,30,0.9005,0.8739,0.9227,0.9537,0.9264,0.9723,0.8529,0.8121,0.8881,0.8068,0.7542,0.853,0.8079,0.9806,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
min11,35,0.9005,0.8739,0.9227,0.9537,0.9264,0.9723,0.8529,0.8121,0.8881,0.8068,0.7542,0.853,0.8079,0.9806,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
min11,40,0.9005,0.8739,0.9227,0.9537,0.9264,0.9723,0.8529,0.8121,0.8881,0.8068,0.7542,0.853,0.8079,0.9806,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
min11,45,0.9029,0.8768,0.925,0.9563,0.9301,0.9746,0.8552,0.8141,0.8902,0.8068,0.7542,0.853,0.8079,0.9806,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
min11,50,0.9029,0.8768,0.925,0.9563,0.9301,0.9746,0.8552,0.8141,0.8902,0.8068,0.7542,0.853,0.8079,0.9806,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
min11,75,0.9053,0.8806,0.9272,0.9589,0.933,0.9764,0.8575,0.8166,0.8925,0.8068,0.7542,0.853,0.8079,0.9806,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
min11,100,0.9078,0.8836,0.929,0.9614,0.936,0.9784,0.8598,0.8199,0.8942,0.8068,0.7542,0.853,0.8079,0.9806,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
min11,125,0.9078,0.8836,0.929,0.9614,0.936,0.9784,0.8598,0.8199,0.8942,0.8068,0.7542,0.853,0.8079,0.9806,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
min11,150,0.9078,0.8836,0.929,0.9614,0.936,0.9784,0.8598,0.8199,0.8942,0.8068,0.7542,0.853,0.8079,0.9806,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
