condition,run,f1,precision,recall,n_detections
image-only,1,0.4351,0.3455,0.5876,165
image-only,10,0.4211,0.3467,0.5361,150
image-only,2,0.3878,0.3072,0.5258,166
image-only,3,0.3596,0.2824,0.4948,170
image-only,4,0.413,0.34,0.5258,150
image-only,5,0.4741,0.4074,0.567,135
image-only,6,0.4274,0.365,0.5155,137
image-only,7,0.4337,0.3553,0.5567,152
image-only,8,0.4297,0.3459,0.567,159
image-only,9,0.4706,0.3972,0.5773,141
brief-text,1,0.5197,0.4204,0.6804,157
brief-text,10,0.5926,0.4932,0.7423,146
brief-text,2,0.5426,0.4348,0.7216,161
brief-text,3,0.5804,0.4684,0.7629,158
brief-text,4,0.5095,0.4036,0.6907,166
brief-text,5,0.5188,0.4083,0.7113,169
brief-text,6,0.5462,0.4356,0.732,163
brief-text,7,0.5428,0.4244,0.7526,172
brief-text,8,0.5353,0.4186,0.7423,172
brief-text,9,0.537,0.4313,0.7113,160
brief-text-image,1,0.4596,0.3913,0.5567,138
brief-text-image,10,0.4762,0.4104,0.567,134
brief-text-image,2,0.4681,0.3986,0.567,138
brief-text-image,3,0.5064,0.4338,0.6082,136
brief-text-image,4,0.4557,0.3857,0.5567,140
brief-text-image,5,0.4017,0.3431,0.4845,137
brief-text-image,6,0.4706,0.3972,0.5773,141
brief-text-image,7,0.4483,0.3852,0.5361,135
brief-text-image,8,0.4786,0.4088,0.5773,137
brief-text-image,9,0.4519,0.3803,0.5567,142
verbose-text,1,0.4842,0.367,0.7113,188
verbose-text,10,0.4594,0.3495,0.6701,186
verbose-text,2,0.4818,0.3729,0.6804,177
verbose-text,3,0.4758,0.3721,0.6598,172
verbose-text,4,0.3603,0.28,0.5052,175
verbose-text,5,0.4855,0.3743,0.6907,179
verbose-text,6,0.5091,0.3933,0.7216,178
verbose-text,7,0.5113,0.4024,0.701,169
verbose-text,8,0.4906,0.3869,0.6701,168
verbose-text,9,0.4516,0.3462,0.6495,182
verbose-text-image,1,0.5126,0.4326,0.6289,141
verbose-text-image,10,0.4064,0.3312,0.5258,154
verbose-text-image,2,0.4219,0.3571,0.5155,140
verbose-text-image,3,0.4362,0.363,0.5464,146
verbose-text-image,4,0.4033,0.3356,0.5052,146
verbose-text-image,5,0.4016,0.3289,0.5155,152
verbose-text-image,6,0.4359,0.3723,0.5258,137
verbose-text-image,7,0.4426,0.3768,0.5361,138
verbose-text-image,8,0.4473,0.3786,0.5464,140
verbose-text-image,9,0.4609,0.3985,0.5464,133
