cell,label,tile_px,overlap_frac,K,min_corroboration,min_votes,n_detections,precision,recall,f1,mcc
g512_ov064,512 px / 12.5 %,512,0.125,1,1,1,708,0.4689265536723164,0.7757009345794392,0.5845070422535211,0.44581916825391205
g512_ov064,512 px / 12.5 %,512,0.125,1,2,1,44,0.8409090909090909,0.08644859813084112,0.15677966101694915,0.26784602086361164
g512_ov064,512 px / 12.5 %,512,0.125,1,3,1,3,1.0,0.007009345794392523,0.013921113689095127,0.08495664102349204
g512_ov064,512 px / 12.5 %,512,0.125,3,1,1,998,0.36072144288577157,0.8411214953271028,0.5049088359046284,0.39062603729703854
g512_ov064,512 px / 12.5 %,512,0.125,3,1,2,652,0.5230061349693251,0.7967289719626168,0.6314814814814814,0.434878026710733
g512_ov064,512 px / 12.5 %,512,0.125,3,1,3,474,0.6434599156118144,0.7126168224299065,0.6762749445676275,0.5055043295131975
g512_ov064,512 px / 12.5 %,512,0.125,3,2,1,69,0.7246376811594203,0.11682242990654206,0.2012072434607646,0.2569013656871354
g512_ov064,512 px / 12.5 %,512,0.125,3,2,2,44,0.8409090909090909,0.08644859813084112,0.15677966101694915,0.2581568108917666
g512_ov064,512 px / 12.5 %,512,0.125,3,2,3,31,0.8387096774193549,0.06074766355140187,0.11328976034858389,0.22508755207738332
g512_ov064,512 px / 12.5 %,512,0.125,3,3,1,3,1.0,0.007009345794392523,0.013921113689095127,0.08495664102349204
g512_ov064,512 px / 12.5 %,512,0.125,3,3,2,3,1.0,0.007009345794392523,0.013921113689095127,0.08495664102349204
g512_ov064,512 px / 12.5 %,512,0.125,3,3,3,3,1.0,0.007009345794392523,0.013921113689095127,0.08495664102349204
g512_ov064,512 px / 12.5 %,512,0.125,5,1,1,1151,0.3188531711555169,0.8574766355140186,0.4648511716276124,0.39415941823257367
g512_ov064,512 px / 12.5 %,512,0.125,5,1,2,770,0.45584415584415583,0.8200934579439252,0.5859766277128546,0.41346566205757856
g512_ov064,512 px / 12.5 %,512,0.125,5,1,3,633,0.5402843601895735,0.7990654205607477,0.644674835061263,0.460456122776586
g512_ov064,512 px / 12.5 %,512,0.125,5,1,4,540,0.6037037037037037,0.7616822429906542,0.6735537190082646,0.5008125454014513
g512_ov064,512 px / 12.5 %,512,0.125,5,1,5,412,0.6650485436893204,0.6401869158878505,0.6523809523809524,0.5015667004439442
g512_ov064,512 px / 12.5 %,512,0.125,5,2,1,75,0.6933333333333334,0.12149532710280374,0.20675944333996024,0.26665763974169937
g512_ov064,512 px / 12.5 %,512,0.125,5,2,2,60,0.8,0.11214953271028037,0.19672131147540983,0.2664006970908675
g512_ov064,512 px / 12.5 %,512,0.125,5,2,3,47,0.7872340425531915,0.08644859813084112,0.15578947368421053,0.23053550753967778
g512_ov064,512 px / 12.5 %,512,0.125,5,2,4,37,0.8378378378378378,0.07242990654205607,0.13333333333333333,0.2419091819236892
g512_ov064,512 px / 12.5 %,512,0.125,5,2,5,25,0.84,0.04906542056074766,0.09271523178807946,0.21369278948609552
g512_ov064,512 px / 12.5 %,512,0.125,5,3,1,3,1.0,0.007009345794392523,0.013921113689095127,0.08495664102349204
g512_ov064,512 px / 12.5 %,512,0.125,5,3,2,3,1.0,0.007009345794392523,0.013921113689095127,0.08495664102349204
g512_ov064,512 px / 12.5 %,512,0.125,5,3,3,3,1.0,0.007009345794392523,0.013921113689095127,0.08495664102349204
g512_ov064,512 px / 12.5 %,512,0.125,5,3,4,3,1.0,0.007009345794392523,0.013921113689095127,0.08495664102349204
g512_ov064,512 px / 12.5 %,512,0.125,5,3,5,3,1.0,0.007009345794392523,0.013921113689095127,0.08495664102349204
g512_ov064,512 px / 12.5 %,512,0.125,10,1,1,1402,0.2660485021398003,0.8714953271028038,0.40765027322404374,0.3602743738692594
