label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
verified-adv-text-medium-vf-4of5,5,0.298,0.2537,0.3452,0.3019,0.2557,0.3514,0.2943,0.25,0.3411,0.7208,0.656,0.7791,0.8079,0.907,sparse_cross_grid,True,0.5174537987679672,487,zero_fraction_heuristic,
verified-adv-text-medium-vf-4of5,10,0.6868,0.6423,0.7299,0.6958,0.6485,0.741,0.6782,0.6277,0.7254,0.7208,0.656,0.7791,0.8079,0.907,sparse_cross_grid,True,0.5338809034907598,487,zero_fraction_heuristic,
verified-adv-text-medium-vf-4of5,15,0.8102,0.7704,0.8456,0.8208,0.7765,0.8588,0.8,0.7526,0.843,0.7208,0.656,0.7791,0.8079,0.907,sparse_cross_grid,True,0.5420944558521561,487,zero_fraction_heuristic,
verified-adv-text-medium-vf-4of5,20,0.8545,0.8212,0.8825,0.8656,0.8279,0.8968,0.8437,0.8005,0.8813,0.7208,0.656,0.7791,0.8079,0.907,sparse_cross_grid,True,0.5441478439425051,487,zero_fraction_heuristic,
verified-adv-text-medium-vf-4of5,25,0.8685,0.8378,0.8949,0.8797,0.8436,0.9098,0.8575,0.8161,0.8926,0.7208,0.656,0.7791,0.8079,0.907,sparse_cross_grid,True,0.5441478439425051,487,zero_fraction_heuristic,
verified-adv-text-medium-vf-4of5,30,0.8801,0.8507,0.905,0.8915,0.8565,0.9201,0.869,0.8275,0.9033,0.7208,0.656,0.7791,0.8079,0.907,sparse_cross_grid,True,0.5441478439425051,487,zero_fraction_heuristic,
verified-adv-text-medium-vf-4of5,35,0.8801,0.8507,0.905,0.8915,0.8565,0.9201,0.869,0.8275,0.9033,0.7208,0.656,0.7791,0.8079,0.907,sparse_cross_grid,True,0.5441478439425051,487,zero_fraction_heuristic,
verified-adv-text-medium-vf-4of5,40,0.8801,0.8507,0.905,0.8915,0.8565,0.9201,0.869,0.8275,0.9033,0.7208,0.656,0.7791,0.8079,0.907,sparse_cross_grid,True,0.5441478439425051,487,zero_fraction_heuristic,
verified-adv-text-medium-vf-4of5,45,0.8801,0.8507,0.905,0.8915,0.8565,0.9201,0.869,0.8275,0.9033,0.7208,0.656,0.7791,0.8079,0.907,sparse_cross_grid,True,0.5441478439425051,487,zero_fraction_heuristic,
verified-adv-text-medium-vf-4of5,50,0.8801,0.8507,0.905,0.8915,0.8565,0.9201,0.869,0.8275,0.9033,0.7208,0.656,0.7791,0.8079,0.907,sparse_cross_grid,True,0.5441478439425051,487,zero_fraction_heuristic,
verified-adv-text-medium-vf-4of5,75,0.8824,0.853,0.9069,0.8939,0.8595,0.9223,0.8713,0.8293,0.9053,0.7208,0.656,0.7791,0.8079,0.907,sparse_cross_grid,True,0.5441478439425051,487,zero_fraction_heuristic,
verified-adv-text-medium-vf-4of5,100,0.8847,0.8561,0.9089,0.8962,0.8616,0.9245,0.8736,0.8319,0.9074,0.7208,0.656,0.7791,0.8079,0.907,sparse_cross_grid,True,0.5441478439425051,487,zero_fraction_heuristic,
verified-adv-text-medium-vf-4of5,125,0.8847,0.8561,0.9089,0.8962,0.8616,0.9245,0.8736,0.8319,0.9074,0.7208,0.656,0.7791,0.8079,0.907,sparse_cross_grid,True,0.5441478439425051,487,zero_fraction_heuristic,
verified-adv-text-medium-vf-4of5,150,0.8847,0.8561,0.9089,0.8962,0.8616,0.9245,0.8736,0.8319,0.9074,0.7208,0.656,0.7791,0.8079,0.907,sparse_cross_grid,True,0.5441478439425051,487,zero_fraction_heuristic,
