threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,487,0.653,0.731,0.6898,0.6451,0.731,0.5925,0.7124,0.6777,0.7781
0.05,441,0.7211,0.731,0.726,0.6858,0.7617,0.6691,0.7705,0.6777,0.7781
0.1,404,0.7847,0.7287,0.7557,0.7146,0.7895,0.7389,0.8246,0.6748,0.7772
0.15,367,0.8311,0.7011,0.7606,0.7207,0.7955,0.7896,0.8672,0.6472,0.7543
0.2,363,0.8347,0.6966,0.7594,0.7201,0.7935,0.7935,0.8704,0.6442,0.7478
0.25,347,0.8444,0.6736,0.7494,0.7101,0.7848,0.8049,0.8792,0.6217,0.7254
0.3,347,0.8444,0.6736,0.7494,0.7101,0.7848,0.8049,0.8792,0.6217,0.7254
0.35,345,0.8464,0.6713,0.7487,0.7076,0.785,0.8057,0.8812,0.6197,0.7248
0.4,345,0.8464,0.6713,0.7487,0.7076,0.785,0.8057,0.8812,0.6197,0.7248
0.45,334,0.8473,0.6506,0.736,0.6944,0.7731,0.8047,0.8824,0.5967,0.703
0.5,334,0.8473,0.6506,0.736,0.6944,0.7731,0.8047,0.8824,0.5967,0.703
0.55,334,0.8473,0.6506,0.736,0.6944,0.7731,0.8047,0.8824,0.5967,0.703
0.6,334,0.8473,0.6506,0.736,0.6944,0.7731,0.8047,0.8824,0.5967,0.703
0.65,334,0.8473,0.6506,0.736,0.6944,0.7731,0.8047,0.8824,0.5967,0.703
0.7,334,0.8473,0.6506,0.736,0.6944,0.7731,0.8047,0.8824,0.5967,0.703
0.75,334,0.8473,0.6506,0.736,0.6944,0.7731,0.8047,0.8824,0.5967,0.703
0.8,331,0.8459,0.6437,0.7311,0.6892,0.7692,0.8024,0.8818,0.5908,0.696
0.85,331,0.8459,0.6437,0.7311,0.6892,0.7692,0.8024,0.8818,0.5908,0.696
0.9,300,0.8567,0.5908,0.6993,0.6538,0.739,0.8151,0.8929,0.5367,0.6453
0.95,297,0.8586,0.5862,0.6967,0.6524,0.7371,0.8182,0.894,0.5314,0.6397
1.0,233,0.8755,0.469,0.6108,0.5607,0.6561,0.8327,0.9135,0.4169,0.523
