label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity
HIGH-t0.3-5of5,20,0.7119,0.6649,0.757,0.8035,0.7548,0.8478,0.6391,0.5831,0.6958,0.6798,0.6145,0.7412,0.7422,0.9222
HIGH-t0.3-5of5,30,0.7631,0.7225,0.8021,0.8613,0.8184,0.8994,0.6851,0.6327,0.7399,0.6798,0.6145,0.7412,0.7422,0.9222
HIGH-t0.3-5of5,40,0.7708,0.7306,0.8093,0.8699,0.8274,0.9073,0.692,0.6392,0.7471,0.6798,0.6145,0.7412,0.7422,0.9222
HIGH-t0.3-5of5,50,0.7759,0.7361,0.8149,0.8757,0.8338,0.9123,0.6966,0.6433,0.7519,0.6798,0.6145,0.7412,0.7422,0.9222
