label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
verified-adv-pro-image-baseline,5,0.063,0.0426,0.0906,0.0598,0.0407,0.0859,0.0667,0.0448,0.0969,0.8232,0.7682,0.8687,0.8821,0.938,sparse_cross_grid,True,0.5071868583162218,487,zero_fraction_heuristic,
verified-adv-pro-image-baseline,10,0.237,0.1991,0.2782,0.2247,0.1887,0.2636,0.2506,0.2078,0.2971,0.8232,0.7682,0.8687,0.8821,0.938,sparse_cross_grid,True,0.5092402464065708,487,zero_fraction_heuristic,
verified-adv-pro-image-baseline,15,0.4543,0.407,0.5018,0.4309,0.3842,0.4777,0.4805,0.4233,0.5357,0.8232,0.7682,0.8687,0.8821,0.938,sparse_cross_grid,True,0.5174537987679672,487,zero_fraction_heuristic,
verified-adv-pro-image-baseline,20,0.6196,0.5711,0.6643,0.5876,0.5418,0.6332,0.6552,0.5888,0.7097,0.8232,0.7682,0.8687,0.8821,0.938,sparse_cross_grid,True,0.5174537987679672,487,zero_fraction_heuristic,
verified-adv-pro-image-baseline,25,0.7087,0.6634,0.749,0.6722,0.629,0.7145,0.7494,0.6831,0.8005,0.8232,0.7682,0.8687,0.8821,0.938,sparse_cross_grid,True,0.5174537987679672,487,zero_fraction_heuristic,
verified-adv-pro-image-baseline,30,0.7522,0.7098,0.7885,0.7134,0.6707,0.7543,0.7954,0.7302,0.8442,0.8232,0.7682,0.8687,0.8821,0.938,sparse_cross_grid,True,0.5174537987679672,487,zero_fraction_heuristic,
verified-adv-pro-image-baseline,35,0.7761,0.7341,0.8101,0.7361,0.6937,0.7763,0.8207,0.755,0.8675,0.8232,0.7682,0.8687,0.8821,0.938,sparse_cross_grid,True,0.5174537987679672,487,zero_fraction_heuristic,
verified-adv-pro-image-baseline,40,0.7826,0.7427,0.8165,0.7423,0.7003,0.7819,0.8276,0.7617,0.8732,0.8232,0.7682,0.8687,0.8821,0.938,sparse_cross_grid,True,0.5174537987679672,487,zero_fraction_heuristic,
verified-adv-pro-image-baseline,45,0.787,0.7463,0.8207,0.7464,0.7038,0.7864,0.8322,0.7665,0.8775,0.8232,0.7682,0.8687,0.8821,0.938,sparse_cross_grid,True,0.5195071868583162,487,zero_fraction_heuristic,
verified-adv-pro-image-baseline,50,0.7978,0.7591,0.829,0.7567,0.7157,0.7944,0.8437,0.7778,0.8871,0.8232,0.7682,0.8687,0.8821,0.938,sparse_cross_grid,True,0.5195071868583162,487,zero_fraction_heuristic,
verified-adv-pro-image-baseline,75,0.8109,0.7731,0.8413,0.7691,0.7284,0.8065,0.8575,0.7913,0.8998,0.8232,0.7682,0.8687,0.8821,0.938,sparse_cross_grid,True,0.5195071868583162,487,zero_fraction_heuristic,
verified-adv-pro-image-baseline,100,0.8152,0.7771,0.8459,0.7732,0.7317,0.8109,0.8621,0.795,0.9036,0.8232,0.7682,0.8687,0.8821,0.938,sparse_cross_grid,True,0.5195071868583162,487,zero_fraction_heuristic,
verified-adv-pro-image-baseline,125,0.8174,0.7795,0.8474,0.7753,0.7347,0.8125,0.8644,0.7971,0.9057,0.8232,0.7682,0.8687,0.8821,0.938,sparse_cross_grid,True,0.5195071868583162,487,zero_fraction_heuristic,
verified-adv-pro-image-baseline,150,0.8196,0.7813,0.8494,0.7773,0.737,0.8141,0.8667,0.8,0.908,0.8232,0.7682,0.8687,0.8821,0.938,sparse_cross_grid,True,0.5195071868583162,487,zero_fraction_heuristic,
