temperature,pool_size,threshold,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
T0.3,5,1,0.6241,0.4911,0.8557,0.4661,0.7216,0.3424,0.631,0.6667,0.8769,169
T0.3,5,2,0.6749,0.5616,0.8454,0.5116,0.7573,0.408,0.6986,0.6477,0.8689,146
T0.3,5,3,0.71,0.6119,0.8454,0.5428,0.7852,0.4495,0.7452,0.6477,0.8689,134
T0.3,5,4,0.7207,0.64,0.8247,0.5618,0.7926,0.4766,0.7742,0.6353,0.8516,125
T0.3,5,5,0.7333,0.6814,0.7938,0.5792,0.7984,0.5247,0.8,0.6015,0.8284,113
T0.3,10,1,0.5936,0.4516,0.866,0.4315,0.6992,0.3068,0.6043,0.68,0.8815,186
T0.3,10,2,0.6561,0.5321,0.8557,0.4929,0.7439,0.3835,0.6705,0.6615,0.876,156
T0.3,10,3,0.6831,0.5685,0.8557,0.5221,0.7609,0.413,0.7037,0.6615,0.876,146
T0.3,10,4,0.6975,0.5887,0.8557,0.5405,0.7692,0.4371,0.7181,0.6615,0.876,141
T0.3,10,5,0.7094,0.6058,0.8557,0.5488,0.7802,0.4488,0.7359,0.6615,0.876,137
T0.3,10,6,0.7162,0.6212,0.8454,0.556,0.7874,0.4646,0.752,0.6557,0.864,132
T0.3,10,7,0.7232,0.6378,0.8351,0.5637,0.7932,0.4749,0.7718,0.6477,0.8526,127
T0.3,10,8,0.7297,0.648,0.8351,0.5714,0.7984,0.4815,0.7799,0.6477,0.8526,125
T0.3,10,9,0.7373,0.6667,0.8247,0.5809,0.8017,0.5045,0.7934,0.6353,0.8516,120
T0.3,10,10,0.7317,0.6944,0.7732,0.5729,0.7937,0.5392,0.8095,0.5769,0.8092,108
T0.3,30,1,0.5174,0.3603,0.9175,0.352,0.6443,0.2293,0.5129,0.7453,0.9074,247
T0.3,30,2,0.6093,0.467,0.8763,0.4488,0.7075,0.3269,0.6111,0.6841,0.8984,182
T0.3,30,3,0.6296,0.4913,0.8763,0.4664,0.7273,0.345,0.635,0.6841,0.8984,173
T0.3,30,4,0.6464,0.512,0.8763,0.4869,0.7402,0.3668,0.6497,0.6841,0.8984,166
T0.3,30,5,0.6564,0.5247,0.8763,0.4956,0.7471,0.3729,0.6649,0.6841,0.8984,162
T0.3,30,6,0.6693,0.5455,0.866,0.5021,0.7572,0.3896,0.6872,0.6632,0.8922,154
T0.3,30,7,0.686,0.5724,0.8557,0.5252,0.7638,0.4213,0.7056,0.6615,0.876,145
T0.3,30,8,0.686,0.5724,0.8557,0.5252,0.7638,0.4213,0.7056,0.6615,0.876,145
T0.3,30,9,0.6888,0.5764,0.8557,0.527,0.7656,0.4254,0.7091,0.6615,0.876,144
T0.3,30,10,0.6917,0.5804,0.8557,0.5271,0.7662,0.4285,0.7135,0.6615,0.876,143
