temperature,pool_size,threshold,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
T0.7,5,1,0.2717,0.1615,0.8557,0.1634,0.3775,0.0921,0.2438,0.6604,0.8818,514
T0.7,5,2,0.5479,0.4103,0.8247,0.3936,0.6555,0.2747,0.5429,0.6382,0.8522,195
T0.7,5,3,0.6638,0.5704,0.7938,0.4999,0.7468,0.4083,0.7055,0.6111,0.8231,135
T0.7,5,4,0.6965,0.6731,0.7216,0.5403,0.7718,0.5258,0.7985,0.5463,0.7714,104
T0.7,5,5,0.6748,0.8333,0.567,0.5084,0.7423,0.6912,0.9355,0.3947,0.6387,66
T0.7,10,1,0.1909,0.1073,0.866,0.1118,0.2733,0.0606,0.1656,0.6842,0.8819,783
T0.7,10,2,0.4199,0.2817,0.8247,0.2865,0.5206,0.1804,0.3829,0.6447,0.8473,284
T0.7,10,3,0.5267,0.3892,0.8144,0.3796,0.6205,0.2615,0.5099,0.6371,0.8348,203
T0.7,10,4,0.6054,0.4817,0.8144,0.4549,0.6942,0.3381,0.6154,0.6371,0.8348,164
T0.7,10,5,0.6414,0.5429,0.7835,0.4834,0.7224,0.3945,0.6769,0.6081,0.8081,140
T0.7,10,6,0.6761,0.6207,0.7423,0.5377,0.7408,0.4808,0.7369,0.5764,0.7778,116
T0.7,10,7,0.7263,0.7419,0.7113,0.5906,0.7841,0.6262,0.8537,0.5411,0.76,93
T0.7,10,8,0.7351,0.7727,0.701,0.5978,0.7903,0.6579,0.878,0.5333,0.7479,88
T0.7,10,9,0.6747,0.8116,0.5773,0.4933,0.7615,0.6774,0.9103,0.3764,0.679,69
T0.7,10,10,0.604,0.8654,0.4639,0.3931,0.7065,0.7248,0.9592,0.2659,0.5827,52
T0.7,30,1,0.1053,0.0559,0.9072,0.0625,0.1594,0.0325,0.0884,0.73,0.9153,1575
T0.7,30,2,0.256,0.1499,0.8763,0.1668,0.3467,0.0923,0.2179,0.7073,0.8794,567
T0.7,30,3,0.3451,0.2161,0.8557,0.2318,0.4436,0.1382,0.3068,0.6875,0.8675,384
T0.7,30,4,0.4129,0.2721,0.8557,0.2918,0.5104,0.1824,0.3708,0.6875,0.8675,305
T0.7,30,5,0.4637,0.318,0.8557,0.3323,0.5571,0.2167,0.423,0.6875,0.8675,261
T0.7,30,6,0.5015,0.3547,0.8557,0.3708,0.589,0.2478,0.4609,0.6875,0.8675,234
T0.7,30,7,0.5359,0.3923,0.8454,0.4,0.6203,0.276,0.5001,0.6731,0.8572,209
T0.7,30,8,0.5754,0.4362,0.8454,0.4334,0.6592,0.3051,0.5562,0.6731,0.8572,188
T0.7,30,9,0.5978,0.4655,0.8351,0.4508,0.6804,0.3333,0.5879,0.6666,0.8475,174
T0.7,30,10,0.6061,0.479,0.8247,0.4569,0.6875,0.351,0.6045,0.6543,0.837,167
T0.7,30,11,0.6324,0.5128,0.8247,0.4906,0.7079,0.3795,0.6357,0.6543,0.837,156
T0.7,30,12,0.6397,0.5267,0.8144,0.4896,0.7162,0.3909,0.6482,0.6428,0.8283,150
T0.7,30,13,0.6667,0.5643,0.8144,0.5151,0.7448,0.4263,0.6886,0.6428,0.8283,140
T0.7,30,14,0.6872,0.6,0.8041,0.5433,0.7615,0.4687,0.719,0.6309,0.824,130
T0.7,30,15,0.7123,0.6393,0.8041,0.566,0.7768,0.5054,0.75,0.6309,0.824,122
T0.7,30,16,0.7238,0.6726,0.7835,0.586,0.7774,0.5413,0.777,0.6222,0.8018,113
T0.7,30,17,0.7317,0.6944,0.7732,0.6,0.7815,0.5728,0.7985,0.6154,0.7944,108
T0.7,30,18,0.73,0.7087,0.7526,0.5939,0.7818,0.5876,0.8138,0.5882,0.7797,103
T0.7,30,19,0.7347,0.7273,0.7423,0.5946,0.7914,0.6074,0.8334,0.5658,0.7753,99
T0.7,30,20,0.7158,0.7312,0.701,0.5778,0.7715,0.6043,0.8362,0.5281,0.7412,93
T0.7,30,21,0.7273,0.7556,0.701,0.5921,0.7808,0.6341,0.8598,0.5281,0.7412,90
T0.7,30,22,0.7283,0.7701,0.6907,0.589,0.7805,0.6489,0.871,0.5229,0.7355,87
T0.7,30,23,0.72,0.8077,0.6495,0.5778,0.7797,0.6901,0.9091,0.4808,0.7103,78
T0.7,30,24,0.7209,0.8267,0.6392,0.5785,0.781,0.7159,0.9157,0.4643,0.7059,75
T0.7,30,25,0.7135,0.8243,0.6289,0.5658,0.7745,0.7142,0.9138,0.456,0.6975,74
T0.7,30,26,0.6982,0.8194,0.6082,0.5454,0.765,0.7045,0.9121,0.4285,0.6865,72
T0.7,30,27,0.6707,0.8209,0.567,0.5041,0.7523,0.6962,0.9211,0.3831,0.6667,67
T0.7,30,28,0.6133,0.8679,0.4742,0.4238,0.7052,0.75,0.96,0.2857,0.5834,53
T0.7,30,29,0.5468,0.9048,0.3918,0.3539,0.6519,0.7931,0.9773,0.2211,0.5001,42
T0.7,30,30,0.4194,0.963,0.268,0.2328,0.54,0.8696,1.0,0.1328,0.3751,27
