label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
verified-adv-image-baseline,5,0.1945,0.1553,0.2411,0.18,0.1431,0.2235,0.2115,0.1691,0.2632,0.8768,0.8269,0.9138,0.9433,0.9343,sparse_cross_grid,True,0.5071868583162218,487,zero_fraction_heuristic,
verified-adv-image-baseline,10,0.4968,0.4476,0.5465,0.4599,0.4121,0.5083,0.5402,0.485,0.5937,0.8768,0.8269,0.9138,0.9433,0.9343,sparse_cross_grid,True,0.5092402464065708,487,zero_fraction_heuristic,
verified-adv-image-baseline,15,0.6469,0.6029,0.6885,0.5988,0.5547,0.643,0.7034,0.6512,0.7492,0.8768,0.8269,0.9138,0.9433,0.9343,sparse_cross_grid,True,0.5112936344969199,487,zero_fraction_heuristic,
verified-adv-image-baseline,20,0.7167,0.676,0.7548,0.6634,0.6197,0.7056,0.7793,0.7315,0.8213,0.8768,0.8269,0.9138,0.9433,0.9343,sparse_cross_grid,True,0.5112936344969199,487,zero_fraction_heuristic,
verified-adv-image-baseline,25,0.7569,0.7187,0.7903,0.7006,0.6571,0.7406,0.823,0.7791,0.8604,0.8768,0.8269,0.9138,0.9433,0.9343,sparse_cross_grid,True,0.5112936344969199,487,zero_fraction_heuristic,
verified-adv-image-baseline,30,0.7822,0.7468,0.8136,0.7241,0.6818,0.7626,0.8506,0.8087,0.8855,0.8768,0.8269,0.9138,0.9433,0.9343,sparse_cross_grid,True,0.5112936344969199,487,zero_fraction_heuristic,
verified-adv-image-baseline,35,0.7949,0.7632,0.8246,0.7358,0.6957,0.7726,0.8644,0.8259,0.8971,0.8768,0.8269,0.9138,0.9433,0.9343,sparse_cross_grid,True,0.5112936344969199,487,zero_fraction_heuristic,
verified-adv-image-baseline,40,0.7992,0.7675,0.8288,0.7397,0.6998,0.7769,0.869,0.8296,0.901,0.8768,0.8269,0.9138,0.9433,0.9343,sparse_cross_grid,True,0.5133470225872689,487,zero_fraction_heuristic,
verified-adv-image-baseline,45,0.8076,0.7764,0.8368,0.7476,0.7079,0.7856,0.8782,0.8386,0.9093,0.8768,0.8269,0.9138,0.9433,0.9343,sparse_cross_grid,True,0.5133470225872689,487,zero_fraction_heuristic,
verified-adv-image-baseline,50,0.8076,0.7764,0.8368,0.7476,0.7079,0.7856,0.8782,0.8386,0.9093,0.8768,0.8269,0.9138,0.9433,0.9343,sparse_cross_grid,True,0.5133470225872689,487,zero_fraction_heuristic,
verified-adv-image-baseline,75,0.8161,0.7855,0.8437,0.7554,0.7156,0.7927,0.8874,0.8498,0.9167,0.8768,0.8269,0.9138,0.9433,0.9343,sparse_cross_grid,True,0.5133470225872689,487,zero_fraction_heuristic,
verified-adv-image-baseline,100,0.8182,0.7875,0.846,0.7573,0.7173,0.7945,0.8897,0.8528,0.9188,0.8768,0.8269,0.9138,0.9433,0.9343,sparse_cross_grid,True,0.5133470225872689,487,zero_fraction_heuristic,
verified-adv-image-baseline,125,0.8203,0.7897,0.848,0.7593,0.7194,0.7965,0.892,0.8547,0.9212,0.8768,0.8269,0.9138,0.9433,0.9343,sparse_cross_grid,True,0.5133470225872689,487,zero_fraction_heuristic,
verified-adv-image-baseline,150,0.8203,0.7897,0.848,0.7593,0.7194,0.7965,0.892,0.8547,0.9212,0.8768,0.8269,0.9138,0.9433,0.9343,sparse_cross_grid,True,0.5133470225872689,487,zero_fraction_heuristic,
