condition,replication,threshold,n_passes,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
A,1,1,5,0.2809,0.1677,0.866,0.165,0.3853,0.0933,0.2525,0.6981,0.881,501
A,1,2,5,0.5623,0.4293,0.8144,0.4076,0.6607,0.2904,0.5551,0.6381,0.8351,184
A,1,3,5,0.7085,0.627,0.8144,0.5534,0.7749,0.4737,0.7408,0.6381,0.8351,126
A,1,4,5,0.7435,0.7553,0.732,0.6099,0.793,0.6292,0.8456,0.5745,0.7718,94
A,1,5,5,0.6957,0.875,0.5773,0.5555,0.7487,0.7778,0.9516,0.4188,0.6392,64
D,4,1,5,0.2867,0.1726,0.8454,0.1823,0.3888,0.1043,0.255,0.6759,0.8572,475
D,4,2,5,0.5612,0.4309,0.8041,0.4111,0.6458,0.2973,0.5526,0.6428,0.8236,181
D,4,3,5,0.6667,0.605,0.7423,0.5128,0.7298,0.4519,0.7273,0.5769,0.7732,119
D,4,4,5,0.6984,0.7174,0.6804,0.5505,0.7604,0.5773,0.8269,0.5,0.7403,92
D,4,5,5,0.6369,0.8333,0.5155,0.4553,0.7281,0.7222,0.92,0.3205,0.6227,60
E,1,1,5,0.2547,0.1503,0.8351,0.1571,0.3564,0.0889,0.2272,0.6493,0.8618,539
E,1,2,5,0.5833,0.4611,0.7938,0.4306,0.6822,0.3264,0.587,0.5895,0.837,167
E,1,3,5,0.6445,0.5965,0.701,0.4782,0.7402,0.4365,0.7392,0.5,0.7623,114
E,1,4,5,0.6556,0.7108,0.6082,0.48,0.7346,0.5479,0.8381,0.4149,0.6804,83
E,1,5,5,0.5175,0.8043,0.3814,0.3217,0.6388,0.6415,0.9322,0.2134,0.5042,46
A,5,1,5,0.2976,0.1806,0.8454,0.1919,0.4036,0.11,0.2685,0.6667,0.8602,454
A,5,2,5,0.5468,0.4199,0.7835,0.3917,0.6433,0.2875,0.544,0.5961,0.8145,181
A,5,3,5,0.6727,0.6016,0.7629,0.5116,0.7522,0.451,0.7334,0.5733,0.8028,123
A,5,4,5,0.7254,0.7292,0.7216,0.5586,0.7935,0.5862,0.8366,0.5252,0.7712,96
A,5,5,5,0.6875,0.873,0.567,0.4961,0.7692,0.7499,0.9612,0.3558,0.6636,63
B,5,1,5,0.2592,0.1534,0.8351,0.1672,0.3509,0.0958,0.2232,0.6555,0.8602,528
B,5,2,5,0.5672,0.4444,0.7835,0.4215,0.644,0.3172,0.5522,0.6105,0.8087,171
B,5,3,5,0.6573,0.6034,0.7216,0.4999,0.7247,0.4544,0.7165,0.5384,0.7583,116
