temperature,pool_size,threshold,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
text-t0.7,5,1,0.1988,0.1111,0.9421,0.1537,0.2521,0.0837,0.1454,0.9144,0.9707,3736
text-t0.7,5,2,0.4313,0.2835,0.9008,0.3584,0.5151,0.2239,0.359,0.8629,0.9365,1376
text-t0.7,5,3,0.6034,0.4557,0.8926,0.5269,0.6768,0.3755,0.5427,0.8509,0.9317,855
text-t0.7,5,4,0.7215,0.6261,0.8512,0.6548,0.7798,0.5432,0.7055,0.7972,0.8993,584
text-t0.7,5,5,0.7761,0.8018,0.7521,0.7225,0.8236,0.7269,0.8683,0.6844,0.8123,415
text-t0.7,10,1,0.1345,0.0724,0.9504,0.1018,0.1743,0.0538,0.0959,0.9183,0.9777,5866
text-t0.7,10,2,0.3036,0.181,0.9421,0.242,0.3726,0.1396,0.2314,0.9102,0.972,2215
text-t0.7,10,3,0.4047,0.2593,0.9215,0.3318,0.4829,0.2033,0.3261,0.8873,0.9542,1493
text-t0.7,10,4,0.5052,0.351,0.9008,0.4279,0.5819,0.2814,0.4279,0.8619,0.9389,1104
text-t0.7,10,5,0.5921,0.442,0.8967,0.5186,0.6639,0.3675,0.5249,0.8553,0.9324,879
text-t0.7,10,6,0.6615,0.527,0.8884,0.5913,0.7262,0.445,0.6073,0.8456,0.9255,727
text-t0.7,10,7,0.714,0.6149,0.8512,0.6475,0.7714,0.5282,0.6958,0.7993,0.8988,590
text-t0.7,10,8,0.7684,0.7059,0.843,0.7079,0.8187,0.6268,0.7809,0.792,0.8899,511
text-t0.7,10,9,0.805,0.817,0.7934,0.755,0.8497,0.75,0.8709,0.7347,0.8507,431
text-t0.7,10,10,0.7908,0.8912,0.7107,0.7325,0.8399,0.8381,0.9346,0.634,0.784,345
text-t0.7,30,1,0.07,0.0363,0.9669,0.0522,0.0911,0.0268,0.0478,0.9425,0.9892,11771
text-t0.7,30,2,0.1657,0.0907,0.9545,0.1273,0.2133,0.0682,0.1201,0.927,0.9784,4543
text-t0.7,30,3,0.2334,0.133,0.9504,0.1815,0.2923,0.1005,0.1726,0.9234,0.9765,3072
text-t0.7,30,4,0.285,0.1678,0.9463,0.2258,0.3485,0.1284,0.2133,0.919,0.9736,2363
text-t0.7,30,5,0.3259,0.1971,0.9421,0.2621,0.3941,0.1527,0.2493,0.9143,0.9703,1991
text-t0.7,30,6,0.3655,0.227,0.938,0.2968,0.4377,0.1766,0.2839,0.9048,0.9681,1713
text-t0.7,30,7,0.3972,0.2522,0.9339,0.3266,0.4723,0.1986,0.3149,0.9009,0.9628,1536
text-t0.7,30,8,0.4321,0.2811,0.9339,0.3573,0.5091,0.2216,0.3491,0.9009,0.9628,1387
text-t0.7,30,9,0.4622,0.3071,0.9339,0.3834,0.5377,0.2423,0.3763,0.9009,0.9628,1271
text-t0.7,30,10,0.4885,0.3319,0.9256,0.4108,0.5628,0.2645,0.4024,0.8899,0.9565,1161
text-t0.7,30,11,0.5155,0.3573,0.9256,0.4391,0.5884,0.2897,0.4314,0.8899,0.9565,1070
text-t0.7,30,12,0.5516,0.3943,0.9174,0.4763,0.6244,0.3231,0.4702,0.8793,0.9502,975
text-t0.7,30,13,0.5816,0.4266,0.9132,0.5053,0.6509,0.3518,0.5044,0.875,0.9488,907
text-t0.7,30,14,0.6063,0.4538,0.9132,0.531,0.6756,0.3769,0.5308,0.875,0.9488,850
text-t0.7,30,15,0.6397,0.4922,0.9132,0.5654,0.7064,0.414,0.5692,0.875,0.9488,789
text-t0.7,30,16,0.6738,0.5353,0.9091,0.6034,0.7386,0.4573,0.6152,0.8692,0.9451,729
text-t0.7,30,17,0.7019,0.5733,0.905,0.6343,0.7625,0.4913,0.6512,0.8616,0.9436,682
text-t0.7,30,18,0.7126,0.6006,0.876,0.6463,0.7707,0.5173,0.6792,0.83,0.9179,637
text-t0.7,30,19,0.7257,0.6257,0.8636,0.6653,0.7796,0.5437,0.699,0.8186,0.907,607
text-t0.7,30,20,0.745,0.6624,0.8512,0.684,0.798,0.5809,0.7405,0.8021,0.8986,571
text-t0.7,30,21,0.7626,0.6962,0.843,0.705,0.8118,0.6172,0.7673,0.7907,0.8921,536
text-t0.7,30,22,0.7816,0.7286,0.843,0.726,0.8303,0.6543,0.7963,0.7907,0.8921,510
text-t0.7,30,23,0.7875,0.7454,0.8347,0.7317,0.8358,0.6723,0.8111,0.7756,0.8906,491
text-t0.7,30,24,0.7945,0.7614,0.8306,0.7419,0.8427,0.688,0.8249,0.7701,0.8863,469
text-t0.7,30,25,0.8008,0.788,0.814,0.75,0.8462,0.712,0.8481,0.7567,0.8703,441
text-t0.7,30,26,0.8136,0.8348,0.7934,0.7631,0.8595,0.7708,0.8889,0.7346,0.8504,415
text-t0.7,30,27,0.8053,0.8558,0.7603,0.7519,0.8486,0.7919,0.9063,0.6963,0.8198,390
text-t0.7,30,28,0.7973,0.8883,0.7231,0.7393,0.8445,0.8342,0.9297,0.6526,0.7885,361
text-t0.7,30,29,0.7896,0.9227,0.6901,0.7295,0.8386,0.8796,0.959,0.6124,0.7605,327
text-t0.7,30,30,0.6997,0.9504,0.5537,0.6201,0.7692,0.9091,0.9819,0.4646,0.6385,256
