label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
verified-256-ge3of5-t0-3-n5,5,0.4495,0.4011,0.5016,0.4663,0.4135,0.5226,0.4339,0.3857,0.4868,0.7301,0.6829,0.772,0.7238,0.9609,sparse_cross_grid,True,0.7083333333333334,1032,zero_fraction_heuristic,
verified-256-ge3of5-t0-3-n5,10,0.7644,0.7216,0.8034,0.793,0.7459,0.8356,0.7378,0.6881,0.7833,0.7301,0.6829,0.772,0.7238,0.9609,sparse_cross_grid,True,0.7122093023255814,1032,zero_fraction_heuristic,
verified-256-ge3of5-t0-3-n5,15,0.8389,0.802,0.8704,0.8703,0.8287,0.9044,0.8097,0.7621,0.851,0.7301,0.6829,0.772,0.7238,0.9609,sparse_cross_grid,True,0.7141472868217055,1032,zero_fraction_heuristic,
verified-256-ge3of5-t0-3-n5,20,0.8582,0.8247,0.8874,0.8903,0.8523,0.9217,0.8283,0.7827,0.8676,0.7301,0.6829,0.772,0.7238,0.9609,sparse_cross_grid,True,0.7160852713178295,1032,zero_fraction_heuristic,
verified-256-ge3of5-t0-3-n5,25,0.8654,0.8324,0.8931,0.8978,0.861,0.9282,0.8353,0.7902,0.8742,0.7301,0.6829,0.772,0.7238,0.9609,sparse_cross_grid,True,0.7170542635658915,1032,zero_fraction_heuristic,
verified-256-ge3of5-t0-3-n5,30,0.8678,0.8352,0.8953,0.9002,0.8634,0.93,0.8376,0.7918,0.8758,0.7301,0.6829,0.772,0.7238,0.9609,sparse_cross_grid,True,0.7170542635658915,1032,zero_fraction_heuristic,
verified-256-ge3of5-t0-3-n5,35,0.8702,0.8385,0.8967,0.9027,0.8659,0.9323,0.8399,0.7953,0.8772,0.7301,0.6829,0.772,0.7238,0.9609,sparse_cross_grid,True,0.7170542635658915,1032,zero_fraction_heuristic,
verified-256-ge3of5-t0-3-n5,40,0.8702,0.8385,0.8967,0.9027,0.8659,0.9323,0.8399,0.7953,0.8772,0.7301,0.6829,0.772,0.7238,0.9609,sparse_cross_grid,True,0.7170542635658915,1032,zero_fraction_heuristic,
verified-256-ge3of5-t0-3-n5,45,0.8702,0.8385,0.8967,0.9027,0.8659,0.9323,0.8399,0.7953,0.8772,0.7301,0.6829,0.772,0.7238,0.9609,sparse_cross_grid,True,0.7170542635658915,1032,zero_fraction_heuristic,
verified-256-ge3of5-t0-3-n5,50,0.8702,0.8385,0.8967,0.9027,0.8659,0.9323,0.8399,0.7953,0.8772,0.7301,0.6829,0.772,0.7238,0.9609,sparse_cross_grid,True,0.7170542635658915,1032,zero_fraction_heuristic,
verified-256-ge3of5-t0-3-n5,75,0.8702,0.8385,0.8967,0.9027,0.8659,0.9323,0.8399,0.7953,0.8772,0.7301,0.6829,0.772,0.7238,0.9609,sparse_cross_grid,True,0.7170542635658915,1032,zero_fraction_heuristic,
verified-256-ge3of5-t0-3-n5,100,0.8702,0.8385,0.8967,0.9027,0.8659,0.9323,0.8399,0.7953,0.8772,0.7301,0.6829,0.772,0.7238,0.9609,sparse_cross_grid,True,0.7170542635658915,1032,zero_fraction_heuristic,
verified-256-ge3of5-t0-3-n5,125,0.8702,0.8385,0.8967,0.9027,0.8659,0.9323,0.8399,0.7953,0.8772,0.7301,0.6829,0.772,0.7238,0.9609,sparse_cross_grid,True,0.7170542635658915,1032,zero_fraction_heuristic,
verified-256-ge3of5-t0-3-n5,150,0.8774,0.8466,0.903,0.9102,0.875,0.9388,0.8469,0.8027,0.8837,0.7301,0.6829,0.772,0.7238,0.9609,sparse_cross_grid,True,0.7170542635658915,1032,zero_fraction_heuristic,
