R_m,TP,FP,FN,n_ref_student_only,n_reviewer_promoted_at_R,n_ref_extended,precision,precision_CI_lo,precision_CI_hi,recall,recall_CI_lo,recall_CI_hi,F1,F1_CI_lo,F1_CI_hi
50,3966,384,1086,4744,308,5052,0.9117241379310345,0.9025292067133966,0.9205330570900953,0.7850356294536817,0.7720616221614267,0.7975933406994326,0.843650287172942,0.8344214920261159,0.8523666280187276
75,3991,359,1085,4744,332,5076,0.9174712643678161,0.9084456695321591,0.9261261261261261,0.7862490149724193,0.7733175278874731,0.79884518159592,0.8468067048589009,0.8376615136116852,0.855414173282039
100,4005,345,1085,4744,346,5090,0.9206896551724137,0.9117713118419448,0.9292402172246341,0.7868369351669942,0.7739355752177298,0.7993415158307315,0.8485169491525424,0.8394126065614705,0.8570545161943836
125,4015,335,1082,4744,353,5097,0.9229885057471264,0.9140625,0.9314417241891041,0.7877182656464587,0.7748804494644611,0.8001910680191096,0.8500052926855086,0.8409944011468026,0.8585243819476882
150,4023,327,1084,4744,363,5107,0.9248275862068965,0.9160354724747362,0.933125313197599,0.7877423144703348,0.7748430198732137,0.8001939911293589,0.8507983504282542,0.8417097703817004,0.8593088395098534
