label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
512px-text-t0,20,0.5368,0.2312,0.5615,0.4005,0.2454,0.6154,0.8138,0.197,0.5355,partial_coverage,True,0.8193018480492813,487,processed_tiles,447
512px-text-t0,30,0.5671,0.2703,0.6045,0.4231,0.2536,0.625,0.8598,0.253,0.6111,partial_coverage,True,0.8336755646817249,487,processed_tiles,447
