threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,1072,0.3675,0.9057,0.5229,0.4668,0.5745,0.3158,0.4187,0.8735,0.9317
0.05,844,0.4656,0.9034,0.6145,0.5617,0.6598,0.409,0.5163,0.8716,0.9289
0.1,625,0.6256,0.8989,0.7377,0.6977,0.7722,0.5759,0.6707,0.8667,0.9262
0.15,503,0.7455,0.8621,0.7996,0.7674,0.8282,0.7013,0.7844,0.8309,0.8946
0.2,492,0.7541,0.8529,0.8004,0.7701,0.8287,0.7137,0.7911,0.8203,0.8886
0.25,464,0.7672,0.8184,0.792,0.7616,0.8231,0.7271,0.8069,0.7825,0.8557
0.3,464,0.7672,0.8184,0.792,0.7616,0.8231,0.7271,0.8069,0.7825,0.8557
0.35,460,0.7696,0.8138,0.7911,0.7586,0.8225,0.729,0.8094,0.7775,0.8532
0.4,460,0.7696,0.8138,0.7911,0.7586,0.8225,0.729,0.8094,0.7775,0.8532
0.45,443,0.7743,0.7885,0.7813,0.748,0.8117,0.7327,0.8147,0.75,0.8277
0.5,443,0.7743,0.7885,0.7813,0.748,0.8117,0.7327,0.8147,0.75,0.8277
0.55,443,0.7743,0.7885,0.7813,0.748,0.8117,0.7327,0.8147,0.75,0.8277
0.6,443,0.7743,0.7885,0.7813,0.748,0.8117,0.7327,0.8147,0.75,0.8277
0.65,443,0.7743,0.7885,0.7813,0.748,0.8117,0.7327,0.8147,0.75,0.8277
0.7,442,0.776,0.7885,0.7822,0.7494,0.8127,0.7346,0.8162,0.75,0.8277
0.75,442,0.776,0.7885,0.7822,0.7494,0.8127,0.7346,0.8162,0.75,0.8277
0.8,439,0.7745,0.7816,0.778,0.7446,0.8088,0.7329,0.8151,0.7425,0.8218
0.85,439,0.7745,0.7816,0.778,0.7446,0.8088,0.7329,0.8151,0.7425,0.8218
0.9,399,0.787,0.7218,0.753,0.7168,0.7865,0.7458,0.8279,0.6781,0.7646
0.95,396,0.7904,0.7195,0.7533,0.7176,0.7861,0.75,0.8288,0.6759,0.7638
1.0,320,0.8125,0.5977,0.6887,0.6517,0.7257,0.7717,0.85,0.5493,0.642
