queue_index,item_type,source_layer,source_index,candidate_id,map_name,buffer_metres,x,y,n_partners_within_threshold,nearest_partner_m,nearest_partner_layer,student_map_symbol,student_feature_type,student_reviewed_subtype
0,phantom,promoted_phantom,0,0,K-35-050-4,50.0,322769.1228190456,4690845.637568707,0,472.21519788508226,corrected_student,,,
1,phantom,promoted_phantom,1,1,K-35-042-3,50.0,477832.3181197375,4727158.660135224,0,4871.758411096249,corrected_student,,,
2,phantom,promoted_phantom,2,2,K-35-050-4,50.0,334910.77119240654,4688978.066465826,1,38.187271758602584,corrected_student,,,
3,phantom,promoted_phantom,3,3,K-35-051-3,75.0,335901.3512509944,4691125.095688898,0,63.408970393046,corrected_student,,,
4,phantom,promoted_phantom,4,4,K-35-051-3,50.0,338634.395872549,4698651.038544204,1,49.786258696831574,corrected_student,,,
5,phantom,promoted_phantom,5,5,K-35-051-4,50.0,363183.5038824232,4701467.592736447,1,33.44782733503373,corrected_student,,,
6,phantom,promoted_phantom,6,6,K-35-051-4,50.0,376112.4767817109,4688363.374051492,0,54.28355668838519,corrected_student,,,
7,phantom,promoted_phantom,7,7,K-35-052-2,50.0,410767.5233057164,4708199.59707505,0,241.39172001243818,corrected_student,,,
8,phantom,promoted_phantom,8,8,K-35-052-2,50.0,407931.98095370096,4708880.239759713,0,1210.743101414521,corrected_student,,,
9,phantom,promoted_phantom,9,9,K-35-052-3,50.0,396171.1552858995,4693952.597377411,0,89.03743724140442,corrected_student,,,
10,phantom,promoted_phantom,10,10,K-35-053-1,50.0,432984.5902692997,4720483.532732221,0,1206.2755310474904,corrected_student,,,
11,phantom,promoted_phantom,11,11,K-35-053-1,50.0,420815.0032441284,4711548.0107046105,0,2401.7839668031397,corrected_student,,,
12,phantom,promoted_phantom,12,12,K-35-053-2,50.0,448087.3681123597,4705497.972237923,0,881.08663067258,corrected_student,,,
13,phantom,promoted_phantom,13,13,K-35-053-2,50.0,440069.0077915439,4719300.865342047,0,2502.201232476429,corrected_student,,,
14,phantom,promoted_phantom,14,14,K-35-053-4_Boyadzhik,50.0,450645.7901107031,4697001.612029184,0,1452.2082774004812,corrected_student,,,
15,phantom,promoted_phantom,15,15,K-35-053-4_Boyadzhik,50.0,450044.3607771592,4695750.246632583,0,2217.0676065732287,corrected_student,,,
16,phantom,promoted_phantom,16,16,K-35-053-4_Boyadzhik,50.0,455341.48046715365,4697354.11453493,0,1797.8844857148817,corrected_student,,,
17,phantom,promoted_phantom,17,17,K-35-053-4_Boyadzhik,50.0,455128.7119326075,4695572.549943693,1,35.74425266422055,corrected_student,,,
18,phantom,promoted_phantom,18,18,K-35-053-4_Boyadzhik,50.0,457441.6467380968,4690325.466850588,1,24.25566873526705,corrected_student,,,
19,phantom,promoted_phantom,19,19,K-35-053-4_Boyadzhik,50.0,442086.1883554408,4695908.450896829,0,1170.7416601918926,corrected_student,,,
20,phantom,promoted_phantom,20,20,K-35-053-4_Boyadzhik,50.0,442572.23934484366,4695443.121945407,0,1704.063693454533,corrected_student,,,
21,phantom,promoted_phantom,21,21,K-35-054-1_Straldzha_4326,50.0,460426.1720920166,4716531.749610429,0,1039.5673606782732,corrected_student,,,
22,phantom,promoted_phantom,22,22,K-35-054-1_Straldzha_4326,50.0,467198.6723874764,4706930.135152716,1,23.75274212406453,corrected_student,,,
23,phantom,promoted_phantom,23,23,K-35-053-4_Boyadzhik,50.0,453152.7873781556,4701329.796854266,0,2290.1899543565683,corrected_student,,,
24,phantom,promoted_phantom,24,24,K-35-054-1_Straldzha_4326,50.0,468688.0324043914,4711597.1925192,0,2104.2457937883987,corrected_student,,,
25,phantom,promoted_phantom,25,25,K-35-054-1_Straldzha_4326,50.0,468104.9696444536,4711256.943824422,0,2302.0373423671153,corrected_student,,,
26,phantom,promoted_phantom,26,26,K-35-054-1_Straldzha_4326,50.0,468175.8496504513,4711305.144572903,0,2272.264934494665,corrected_student,,,
27,phantom,promoted_phantom,27,27,K-35-054-1_Straldzha_4326,50.0,465647.7039484841,4711429.620851791,1,1721.600739512718,corrected_student,,,
28,phantom,promoted_phantom,28,28,K-35-054-1_Straldzha_4326,50.0,460041.5505648984,4719067.697602658,0,1453.0515068501138,corrected_student,,,
29,phantom,promoted_phantom,29,29,K-35-054-1_Straldzha_4326,50.0,465755.7554391592,4708489.908873764,0,683.9875545919725,corrected_student,,,
30,phantom,promoted_phantom,30,30,K-35-054-1_Straldzha_4326,50.0,465611.29626826826,4711427.320821442,1,1707.5760163347343,corrected_student,,,
31,phantom,promoted_phantom,31,31,K-35-054-1_Straldzha_4326,75.0,470670.4464168664,4713673.08566023,1,45.901601997794266,corrected_student,,,
32,phantom,promoted_phantom,32,32,K-35-054-1_Straldzha_4326,50.0,471688.0624501037,4711874.78055641,0,1381.6426631229544,corrected_student,,,
33,phantom,promoted_phantom,33,33,K-35-054-1_Straldzha_4326,100.0,471890.1479064836,4722148.140391675,0,102.8530451481382,corrected_student,,,
34,phantom,promoted_phantom,34,34,K-35-054-1_Straldzha_4326,50.0,476551.90382208297,4715067.144571103,0,785.9004973229396,corrected_student,,,
35,phantom,promoted_phantom,35,35,K-35-053-4_Boyadzhik,125.0,440528.9120235698,4689185.122988405,0,105.21486943134714,corrected_student,,,
36,phantom,promoted_phantom,36,36,K-35-054-1_Straldzha_4326,50.0,478812.3974280455,4711067.771604486,0,1294.031273723489,corrected_student,,,
37,phantom,promoted_phantom,37,37,K-35-054-1_Straldzha_4326,50.0,478448.7532411781,4715713.425461321,0,520.3547599800156,corrected_student,,,
38,phantom,promoted_phantom,38,38,K-35-054-1_Straldzha_4326,50.0,475074.0167739135,4713835.507291152,0,1503.9259792578093,corrected_student,,,
39,phantom,promoted_phantom,39,39,K-35-054-1_Straldzha_4326,50.0,462782.16455546016,4714354.478279981,0,1790.64065376903,corrected_student,,,
40,phantom,promoted_phantom,40,40,K-35-054-2_Atolov_4326,125.0,480280.6872146091,4705738.045640189,0,126.46500231398561,corrected_student,,,
