threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,430,0.7674,0.7586,0.763,0.7127,0.8061,0.7157,0.8161,0.6934,0.8197
0.05,424,0.7736,0.754,0.7637,0.7145,0.8071,0.7222,0.8232,0.6875,0.814
0.1,416,0.7885,0.754,0.7709,0.7217,0.8136,0.7381,0.8337,0.6875,0.814
0.15,398,0.809,0.7402,0.7731,0.7247,0.8154,0.7585,0.8542,0.6769,0.8028
0.2,397,0.8111,0.7402,0.774,0.7256,0.8161,0.762,0.8571,0.6769,0.8028
0.25,381,0.8136,0.7126,0.7598,0.712,0.8056,0.7639,0.8588,0.6496,0.7748
0.3,381,0.8136,0.7126,0.7598,0.712,0.8056,0.7639,0.8588,0.6496,0.7748
0.35,374,0.8182,0.7034,0.7565,0.7098,0.8035,0.7708,0.8613,0.6402,0.7667
0.4,373,0.8177,0.7011,0.755,0.7075,0.802,0.7694,0.8613,0.639,0.7642
0.45,358,0.8156,0.6713,0.7364,0.6888,0.7825,0.7665,0.8619,0.6062,0.735
0.5,358,0.8156,0.6713,0.7364,0.6888,0.7825,0.7665,0.8619,0.6062,0.735
0.55,358,0.8156,0.6713,0.7364,0.6888,0.7825,0.7665,0.8619,0.6062,0.735
0.6,358,0.8156,0.6713,0.7364,0.6888,0.7825,0.7665,0.8619,0.6062,0.735
0.65,358,0.8156,0.6713,0.7364,0.6888,0.7825,0.7665,0.8619,0.6062,0.735
0.7,358,0.8156,0.6713,0.7364,0.6888,0.7825,0.7665,0.8619,0.6062,0.735
0.75,355,0.8197,0.669,0.7367,0.6883,0.7833,0.77,0.8655,0.6041,0.7334
0.8,348,0.8161,0.6529,0.7254,0.6761,0.7722,0.7647,0.8626,0.5894,0.7172
0.85,348,0.8161,0.6529,0.7254,0.6761,0.7722,0.7647,0.8626,0.5894,0.7172
0.9,303,0.8284,0.577,0.6802,0.631,0.7275,0.7746,0.8768,0.5192,0.6361
0.95,299,0.8261,0.5678,0.673,0.6244,0.7196,0.7729,0.875,0.511,0.6267
1.0,201,0.8657,0.4,0.5472,0.4944,0.5994,0.8049,0.9204,0.3499,0.4539
