threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,415,0.8,0.7632,0.7812,0.739,0.8211,0.7423,0.8469,0.7162,0.8147
0.05,375,0.8853,0.7632,0.8198,0.7852,0.855,0.8466,0.9207,0.7162,0.8147
0.1,365,0.9096,0.7632,0.83,0.7959,0.8649,0.873,0.941,0.7162,0.8147
0.15,356,0.9326,0.7632,0.8394,0.805,0.8747,0.8994,0.9605,0.7162,0.8147
0.2,355,0.9324,0.7609,0.838,0.8046,0.8725,0.899,0.9602,0.7149,0.8119
0.25,353,0.9377,0.7609,0.8401,0.8067,0.873,0.9076,0.9635,0.7149,0.8119
0.3,353,0.9377,0.7609,0.8401,0.8067,0.873,0.9076,0.9635,0.7149,0.8119
0.35,353,0.9377,0.7609,0.8401,0.8067,0.873,0.9076,0.9635,0.7149,0.8119
0.4,353,0.9377,0.7609,0.8401,0.8067,0.873,0.9076,0.9635,0.7149,0.8119
0.45,353,0.9377,0.7609,0.8401,0.8067,0.873,0.9076,0.9635,0.7149,0.8119
0.5,353,0.9377,0.7609,0.8401,0.8067,0.873,0.9076,0.9635,0.7149,0.8119
0.55,353,0.9377,0.7609,0.8401,0.8067,0.873,0.9076,0.9635,0.7149,0.8119
0.6,353,0.9377,0.7609,0.8401,0.8067,0.873,0.9076,0.9635,0.7149,0.8119
0.65,353,0.9377,0.7609,0.8401,0.8067,0.873,0.9076,0.9635,0.7149,0.8119
0.7,353,0.9377,0.7609,0.8401,0.8067,0.873,0.9076,0.9635,0.7149,0.8119
0.75,353,0.9377,0.7609,0.8401,0.8067,0.873,0.9076,0.9635,0.7149,0.8119
0.8,353,0.9377,0.7609,0.8401,0.8067,0.873,0.9076,0.9635,0.7149,0.8119
0.85,353,0.9377,0.7609,0.8401,0.8067,0.873,0.9076,0.9635,0.7149,0.8119
0.9,353,0.9377,0.7609,0.8401,0.8067,0.873,0.9076,0.9635,0.7149,0.8119
0.95,353,0.9377,0.7609,0.8401,0.8067,0.873,0.9076,0.9635,0.7149,0.8119
1.0,61,0.9836,0.1379,0.2419,0.191,0.2979,0.9423,1.0,0.1058,0.1754
