R_m,TP,FP,FN,n_ref_student_only,n_reviewer_promoted_at_R,n_ref_extended,precision,precision_CI_lo,precision_CI_hi,recall,recall_CI_lo,recall_CI_hi,F1,F1_CI_lo,F1_CI_hi
50,3781,362,1231,4744,268,5012,0.9126237026309437,0.9032651072124757,0.921741350269629,0.7543894652833201,0.7402153082038083,0.7684407640287546,0.82599672310213,0.815948516602483,0.8356800748301666
75,3800,343,1230,4744,286,5030,0.9172097513878832,0.908017339919746,0.926048886879775,0.7554671968190855,0.7413086871500847,0.769577793338909,0.8285184781423744,0.8184826012549914,0.8382151606729594
100,3818,325,1230,4744,304,5048,0.9215544291576152,0.9125696562057725,0.9302273336486913,0.756339144215531,0.742236655165415,0.7703854248537076,0.8308127516048308,0.8208664032871865,0.8404391554190129
125,3829,314,1230,4744,315,5059,0.924209510016896,0.9154358973367381,0.9328647600581678,0.7568689464321012,0.7427452247630685,0.7708295274556844,0.8322103890458596,0.822224578062895,0.8417442203680789
150,3835,308,1229,4744,320,5064,0.92565773594014,0.9169558736284033,0.9341471644054969,0.757306477093207,0.7431264924966617,0.7712350429105244,0.8330618008037363,0.8230579501449133,0.8426226748926715
