threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,776,0.4961,0.7143,0.5856,0.5411,0.6326,0.448,0.5434,0.6642,0.7682
0.05,682,0.563,0.7124,0.629,0.5842,0.6749,0.5164,0.6106,0.6622,0.7664
0.1,631,0.6038,0.7069,0.6513,0.6073,0.6974,0.5581,0.6488,0.6572,0.76
0.15,560,0.6554,0.6809,0.6679,0.6236,0.7125,0.6077,0.6993,0.6283,0.7398
0.2,558,0.6541,0.6772,0.6655,0.6204,0.7109,0.6064,0.6979,0.6246,0.7354
0.25,514,0.6673,0.6364,0.6515,0.6039,0.6985,0.6178,0.7148,0.583,0.6995
0.3,514,0.6673,0.6364,0.6515,0.6039,0.6985,0.6178,0.7148,0.583,0.6995
0.35,510,0.6647,0.6289,0.6463,0.6006,0.6937,0.6161,0.7132,0.5771,0.6874
0.4,508,0.6654,0.6271,0.6457,0.6004,0.6935,0.6167,0.7126,0.5754,0.6858
0.45,483,0.6729,0.603,0.636,0.59,0.684,0.6229,0.7204,0.5518,0.6601
0.5,483,0.6729,0.603,0.636,0.59,0.684,0.6229,0.7204,0.5518,0.6601
0.55,483,0.6729,0.603,0.636,0.59,0.684,0.6229,0.7204,0.5518,0.6601
0.6,483,0.6729,0.603,0.636,0.59,0.684,0.6229,0.7204,0.5518,0.6601
0.65,483,0.6729,0.603,0.636,0.59,0.684,0.6229,0.7204,0.5518,0.6601
0.7,479,0.6743,0.5993,0.6346,0.5889,0.6818,0.624,0.7233,0.5479,0.6567
0.75,474,0.673,0.5918,0.6298,0.5846,0.6788,0.6219,0.7219,0.5414,0.6498
0.8,467,0.6702,0.5807,0.6223,0.5776,0.6692,0.6192,0.7191,0.5305,0.6355
0.85,465,0.671,0.5788,0.6215,0.5769,0.6686,0.6197,0.7196,0.5296,0.6344
0.9,408,0.6814,0.5158,0.5871,0.5404,0.6347,0.6298,0.7335,0.4648,0.5727
0.95,408,0.6814,0.5158,0.5871,0.5404,0.6347,0.6298,0.7335,0.4648,0.5727
1.0,285,0.7088,0.3748,0.4903,0.4411,0.5402,0.6505,0.7643,0.3295,0.4238
