label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity
MINIMAL-t1.0-5of5,20,0.6067,0.5573,0.6502,0.6543,0.5927,0.7085,0.5655,0.5114,0.6186,0.4731,0.395,0.5487,0.764,0.7097
MINIMAL-t1.0-5of5,30,0.6535,0.6069,0.6961,0.7048,0.6475,0.7556,0.6092,0.5575,0.6637,0.4731,0.395,0.5487,0.764,0.7097
MINIMAL-t1.0-5of5,40,0.6708,0.6245,0.7115,0.7234,0.6667,0.7734,0.6253,0.5745,0.6781,0.4731,0.395,0.5487,0.764,0.7097
MINIMAL-t1.0-5of5,50,0.6757,0.6309,0.7159,0.7287,0.6712,0.7796,0.6299,0.5788,0.6824,0.4731,0.395,0.5487,0.764,0.7097
