R_m,TP,FP,FN,n_ref_student_only,n_reviewer_promoted_at_R,n_ref_extended,precision,precision_CI_lo,precision_CI_hi,recall,recall_CI_lo,recall_CI_hi,F1,F1_CI_lo,F1_CI_hi,MCC,MCC_CI_lo,MCC_CI_hi,tile_TP,tile_TN,tile_FP,tile_FN,sensitivity,specificity
5,263,4417,4483,4746,0,4746,0.0561965811965812,0.04946229855468855,0.06319502114553098,0.05541508638853772,0.04870052851853307,0.0622758133043265,0.05580309781455548,0.04915013651229654,0.0627000876777507,0.6927303266774046,0.6787466897369926,0.7065058328880576,2395,4891,269,986,0.7083703046435965,0.9478682170542636
10,924,3756,3822,4746,0,4746,0.19743589743589743,0.1853572770586776,0.209583454299583,0.19469026548672566,0.18269583279003374,0.20666830953161172,0.19605346912794397,0.18426558794181647,0.20783374984657338,0.6927303266774046,0.6787466897369926,0.7065058328880576,2395,4891,269,986,0.7083703046435965,0.9478682170542636
15,1692,2988,3054,4746,0,4746,0.36153846153846153,0.3466184024246954,0.37630673180760643,0.35651074589127685,0.34175342002959846,0.37119157946801623,0.35900700190961166,0.3446559560094402,0.3729347056000146,0.6927303266774046,0.6787466897369926,0.7065058328880576,2395,4891,269,986,0.7083703046435965,0.9478682170542636
20,2395,2285,2351,4746,0,4746,0.5117521367521367,0.4964280810549822,0.5271664782786072,0.5046354825115887,0.4888328455310576,0.5203344125389108,0.5081688945469975,0.49377928729570864,0.522333469781244,0.6927303266774046,0.6787466897369926,0.7065058328880576,2395,4891,269,986,0.7083703046435965,0.9478682170542636
25,2927,1753,1819,4746,0,4746,0.6254273504273504,0.6104586960680927,0.6405870131459445,0.6167298777918246,0.6010920568213393,0.6319560736738483,0.6210481646509654,0.6072200374422894,0.6344615484149234,0.6927303266774046,0.6787466897369926,0.7065058328880576,2395,4891,269,986,0.7083703046435965,0.9478682170542636
30,3246,1434,1500,4746,0,4746,0.6935897435897436,0.6791800789709891,0.7077980820729237,0.683944374209861,0.6688808744416505,0.6984264358307626,0.6887332908975176,0.6757328457301501,0.7009499132590944,0.6927303266774046,0.6787466897369926,0.7065058328880576,2395,4891,269,986,0.7083703046435965,0.9478682170542636
35,3430,1250,1316,4746,0,4746,0.7329059829059829,0.7188631839404077,0.7466897308224082,0.7227138643067846,0.7083067926659595,0.7368763352032827,0.727774241459792,0.7156650137851905,0.7393078278339179,0.6927303266774046,0.6787466897369926,0.7065058328880576,2395,4891,269,986,0.7083703046435965,0.9478682170542636
40,3544,1136,1202,4746,0,4746,0.7572649572649572,0.7435466675576538,0.7707852263230169,0.7467340918668353,0.7325975052380644,0.7605749573513726,0.751962656482071,0.7403157192721506,0.763028895950057,0.6927303266774046,0.6787466897369926,0.7065058328880576,2395,4891,269,986,0.7083703046435965,0.9478682170542636
45,3611,1069,1135,4746,0,4746,0.7715811965811966,0.75822480246429,0.7848811588145571,0.7608512431521282,0.747192142187322,0.7745286982997491,0.7661786547846382,0.755182171041345,0.776915949001736,0.6927303266774046,0.6787466897369926,0.7065058328880576,2395,4891,269,986,0.7083703046435965,0.9478682170542636
50,3930,750,1231,4746,415,5161,0.8397435897435898,0.8285077431332101,0.8505325125130597,0.7614803332687463,0.7480207851115785,0.7744674284545252,0.7986993191748807,0.7886912658058793,0.8081214240254676,0.7104103204864493,0.697038639304769,0.7233493207345145,2483,4836,181,1041,0.7045970488081725,0.9639226629459836
75,4087,593,1253,4746,594,5340,0.8732905982905983,0.8632004082729494,0.8827586206896552,0.7653558052434457,0.7525167811949466,0.7779639808827985,0.8157684630738523,0.806220059700633,0.8248190390646004,0.7118035855955397,0.698649178516793,0.7246616534037769,2492,4828,172,1049,0.7037560011296244,0.9656
100,4135,545,1296,4746,685,5431,0.8835470085470085,0.8737578655495818,0.8927768686975324,0.761369913459768,0.7482375272176465,0.7741577491779735,0.8179210760557809,0.8084236721728547,0.8270051424378954,0.7129897956280083,0.6999062700783659,0.7256534126789425,2498,4824,166,1053,0.7034638130104196,0.9667334669338677
125,4155,525,1320,4746,729,5475,0.8878205128205128,0.8781454759875607,0.8969560219725747,0.7589041095890411,0.7457135218037254,0.7716625602124558,0.8183161004431314,0.8088818160166532,0.8273549977122818,0.7125587218896808,0.6993355586042266,0.7251632329425434,2499,4820,165,1057,0.702755905511811,0.966900702106319
150,4168,512,1341,4746,763,5509,0.8905982905982905,0.88110787120598,0.8996586068444062,0.7565801415864948,0.7434232745547436,0.7693161414429868,0.818137206791638,0.8086338558260284,0.827177983768543,0.7125587218896808,0.6993355586042266,0.7251632329425434,2499,4820,165,1057,0.702755905511811,0.966900702106319
