label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
r1-hn-heavy-greedy-t1,20,0.2597,0.2202,0.3002,0.164,0.1355,0.1948,0.623,0.5473,0.6874,normal,False,0.2731006160164271,487,zero_fraction_heuristic,
r1-hn-heavy-greedy-t1,30,0.2779,0.2362,0.3203,0.1755,0.1453,0.2079,0.6667,0.5904,0.7313,normal,False,0.2731006160164271,487,zero_fraction_heuristic,
r1-hn-heavy-greedy-t1,40,0.2856,0.2434,0.328,0.1804,0.1499,0.2126,0.6851,0.608,0.7487,normal,False,0.2731006160164271,487,zero_fraction_heuristic,
r1-hn-heavy-greedy-t1,50,0.2885,0.246,0.3307,0.1822,0.1512,0.2146,0.692,0.615,0.7555,normal,False,0.2731006160164271,487,zero_fraction_heuristic,
