temperature,pool_size,threshold,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
T0.3,5,1,0.5188,0.4083,0.7113,0.3896,0.5882,0.2984,0.4975,0.5256,0.7566,169
T0.3,5,2,0.557,0.4714,0.6804,0.4127,0.6327,0.3426,0.5705,0.4952,0.7315,140
T0.3,5,3,0.5804,0.5118,0.6701,0.4304,0.658,0.3727,0.6198,0.4893,0.7208,127
T0.3,5,4,0.5634,0.5172,0.6186,0.4183,0.6316,0.375,0.6221,0.4507,0.6667,116
T0.3,5,5,0.593,0.5784,0.6082,0.4366,0.6558,0.4333,0.6818,0.4348,0.6572,102
T0.3,10,1,0.5035,0.381,0.7423,0.3781,0.5794,0.2761,0.4679,0.5584,0.7951,189
T0.3,10,2,0.556,0.4444,0.7423,0.4147,0.632,0.3223,0.5426,0.5584,0.7951,162
T0.3,10,3,0.5798,0.4894,0.7113,0.4393,0.6515,0.3619,0.5864,0.527,0.7642,141
T0.3,10,4,0.5862,0.5037,0.701,0.4384,0.6582,0.3739,0.6,0.5118,0.7527,135
T0.3,10,5,0.5982,0.5276,0.6907,0.4503,0.669,0.3909,0.625,0.5,0.747,127
T0.3,10,6,0.5973,0.5323,0.6804,0.4511,0.6643,0.398,0.6328,0.5,0.7353,124
T0.3,10,7,0.5963,0.5372,0.6701,0.4444,0.6642,0.3981,0.6391,0.4932,0.7204,121
T0.3,10,8,0.6161,0.5702,0.6701,0.4596,0.681,0.4255,0.6748,0.4932,0.7204,114
T0.3,10,9,0.603,0.5882,0.6186,0.4585,0.6641,0.4432,0.6957,0.4607,0.6667,102
T0.3,10,10,0.6,0.6129,0.5876,0.454,0.6574,0.4714,0.7172,0.4342,0.6377,93
T0.3,30,1,0.3594,0.2315,0.8041,0.2492,0.4426,0.1543,0.3072,0.6166,0.8385,337
T0.3,30,2,0.4583,0.3222,0.7938,0.332,0.5378,0.227,0.4071,0.5968,0.8353,239
T0.3,30,3,0.5067,0.3744,0.7835,0.3794,0.5751,0.2732,0.457,0.5943,0.8276,203
T0.3,30,4,0.5282,0.4011,0.7732,0.395,0.6007,0.2892,0.4922,0.5833,0.8161,187
T0.3,30,5,0.5387,0.4195,0.7526,0.4035,0.6066,0.3051,0.5103,0.5652,0.7929,174
T0.3,30,6,0.5364,0.4268,0.7216,0.398,0.6108,0.3088,0.521,0.5333,0.7714,164
T0.3,30,7,0.5512,0.4459,0.7216,0.4084,0.6246,0.3206,0.5412,0.5333,0.7714,157
T0.3,30,8,0.5738,0.4762,0.7216,0.4315,0.6452,0.3481,0.5723,0.5333,0.7714,147
T0.3,30,9,0.5833,0.4895,0.7216,0.4425,0.6538,0.3603,0.5844,0.5333,0.7714,143
T0.3,30,10,0.6061,0.5224,0.7216,0.4598,0.6772,0.3884,0.6218,0.5333,0.7714,134
T0.3,30,11,0.6126,0.544,0.701,0.4607,0.6873,0.4058,0.6536,0.5089,0.7576,125
T0.3,30,12,0.6154,0.5484,0.701,0.4607,0.6897,0.4105,0.6577,0.5089,0.7576,124
T0.3,30,13,0.6027,0.541,0.6804,0.4411,0.6782,0.3953,0.6533,0.4891,0.7324,122
T0.3,30,14,0.6111,0.5546,0.6804,0.45,0.6902,0.4123,0.6606,0.4891,0.7324,119
T0.3,30,15,0.614,0.5593,0.6804,0.4545,0.6903,0.4175,0.664,0.4891,0.7324,118
T0.3,30,16,0.6038,0.5565,0.6598,0.4526,0.6753,0.4205,0.6591,0.4789,0.7108,115
T0.3,30,17,0.6095,0.5664,0.6598,0.454,0.6855,0.4253,0.6744,0.4789,0.7108,113
T0.3,30,18,0.6244,0.5926,0.6598,0.4663,0.7,0.4494,0.6992,0.4789,0.7108,108
T0.3,30,19,0.6244,0.5926,0.6598,0.4663,0.7,0.4494,0.6992,0.4789,0.7108,108
T0.3,30,20,0.6305,0.6038,0.6598,0.4729,0.7034,0.4615,0.7143,0.4789,0.7108,106
T0.3,30,21,0.63,0.6117,0.6495,0.4737,0.6968,0.4675,0.7232,0.4762,0.6985,103
T0.3,30,22,0.6425,0.6458,0.6392,0.4831,0.7082,0.5,0.755,0.4639,0.6886,96
T0.3,30,23,0.6349,0.6522,0.6186,0.4746,0.7,0.507,0.7589,0.4432,0.6697,92
T0.3,30,24,0.6417,0.6667,0.6186,0.4855,0.7071,0.5224,0.7723,0.4432,0.6697,90
T0.3,30,25,0.6444,0.6988,0.5979,0.4925,0.7068,0.554,0.8132,0.4285,0.6542,83
T0.3,30,26,0.64,0.7179,0.5773,0.4906,0.7007,0.5737,0.829,0.4167,0.6289,78
T0.3,30,27,0.6279,0.72,0.5567,0.4878,0.6891,0.5789,0.8333,0.3999,0.6139,75
T0.3,30,28,0.6118,0.7123,0.5361,0.4698,0.6731,0.5735,0.8235,0.3868,0.5979,73
T0.3,30,29,0.5432,0.6769,0.4536,0.3741,0.6353,0.5192,0.8036,0.2834,0.5579,65
T0.3,30,30,0.4832,0.6923,0.3711,0.3205,0.5833,0.5306,0.8236,0.2222,0.4815,52
T0.7,5,1,0.4551,0.3302,0.732,0.3412,0.5205,0.2415,0.4068,0.5618,0.7619,215
T0.7,5,2,0.5462,0.4474,0.701,0.4153,0.6149,0.3333,0.5412,0.5288,0.7357,152
T0.7,5,3,0.6047,0.5508,0.6701,0.467,0.6667,0.4167,0.65,0.4948,0.7119,118
T0.7,5,4,0.5759,0.5851,0.567,0.4395,0.6368,0.4487,0.6857,0.4167,0.6132,94
T0.7,5,5,0.5059,0.589,0.4433,0.3842,0.5632,0.4528,0.7024,0.3269,0.4891,73
T0.7,10,1,0.3927,0.2632,0.7732,0.2811,0.4657,0.1838,0.332,0.5789,0.8208,285
T0.7,10,2,0.4932,0.3692,0.7423,0.3703,0.5676,0.2715,0.4537,0.5536,0.7944,195
T0.7,10,3,0.5622,0.4605,0.7216,0.421,0.6358,0.3435,0.5549,0.5217,0.781,152
T0.7,10,4,0.5739,0.4962,0.6804,0.4239,0.6528,0.3619,0.5985,0.4868,0.7459,133
T0.7,10,5,0.6009,0.5517,0.6598,0.4456,0.6767,0.4117,0.6561,0.4732,0.7263,116
T0.7,10,6,0.6019,0.5688,0.6392,0.4458,0.6793,0.4222,0.6842,0.4545,0.7034,109
T0.7,10,7,0.596,0.5842,0.6082,0.44,0.6719,0.4342,0.7008,0.4375,0.6667,101
T0.7,10,8,0.5989,0.6222,0.5773,0.4493,0.6667,0.4696,0.7356,0.4123,0.6364,90
T0.7,10,9,0.5549,0.6316,0.4948,0.4122,0.6234,0.4807,0.7501,0.3535,0.5421,76
T0.7,10,10,0.4868,0.6727,0.3814,0.3546,0.5582,0.5319,0.7949,0.2595,0.4458,55
T0.7,30,1,0.2372,0.1382,0.8351,0.1533,0.3135,0.0863,0.1951,0.6489,0.8607,586
T0.7,30,2,0.3492,0.2238,0.7938,0.2511,0.4192,0.1568,0.2873,0.6092,0.8202,344
T0.7,30,3,0.4211,0.2879,0.7835,0.3098,0.4883,0.206,0.3565,0.5974,0.819,264
T0.7,30,4,0.4777,0.3456,0.7732,0.3526,0.5476,0.2485,0.4238,0.5789,0.8161,217
T0.7,30,5,0.5211,0.3957,0.7629,0.3982,0.5876,0.2993,0.4754,0.5745,0.8028,187
T0.7,30,6,0.5368,0.4171,0.7526,0.4089,0.6017,0.3143,0.4978,0.5575,0.7951,175
T0.7,30,7,0.5328,0.4259,0.7113,0.4,0.6007,0.3175,0.5121,0.521,0.7642,162
T0.7,30,8,0.5506,0.4533,0.701,0.4076,0.6234,0.3311,0.545,0.5035,0.7586,150
T0.7,30,9,0.556,0.4653,0.6907,0.4094,0.6294,0.3414,0.5588,0.4929,0.747,144
T0.7,30,10,0.5654,0.4786,0.6907,0.4179,0.6368,0.3486,0.5741,0.4929,0.747,140
