label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
verified-384-ge3of5-t0-3-high-n5,5,0.3049,0.2595,0.3531,0.3191,0.2712,0.3701,0.292,0.2473,0.3395,0.789,0.7367,0.8387,0.8035,0.969,sparse_cross_grid,True,0.5503080082135524,487,zero_fraction_heuristic,
verified-384-ge3of5-t0-3-high-n5,10,0.7011,0.6569,0.7442,0.7337,0.6885,0.7778,0.6713,0.6212,0.7184,0.789,0.7367,0.8387,0.8035,0.969,sparse_cross_grid,True,0.5667351129363449,487,zero_fraction_heuristic,
verified-384-ge3of5-t0-3-high-n5,15,0.8307,0.7926,0.8643,0.8693,0.8318,0.9015,0.7954,0.7479,0.8378,0.789,0.7367,0.8387,0.8035,0.969,sparse_cross_grid,True,0.5749486652977412,487,zero_fraction_heuristic,
verified-384-ge3of5-t0-3-high-n5,20,0.8764,0.8453,0.9031,0.9171,0.8871,0.9412,0.8391,0.7962,0.8764,0.789,0.7367,0.8387,0.8035,0.969,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
verified-384-ge3of5-t0-3-high-n5,25,0.8908,0.8626,0.9153,0.9322,0.9042,0.9542,0.8529,0.811,0.8878,0.789,0.7367,0.8387,0.8035,0.969,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
verified-384-ge3of5-t0-3-high-n5,30,0.9028,0.875,0.9253,0.9447,0.9185,0.9643,0.8644,0.8227,0.8985,0.789,0.7367,0.8387,0.8035,0.969,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
verified-384-ge3of5-t0-3-high-n5,35,0.9028,0.875,0.9253,0.9447,0.9185,0.9643,0.8644,0.8227,0.8985,0.789,0.7367,0.8387,0.8035,0.969,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
verified-384-ge3of5-t0-3-high-n5,40,0.9028,0.875,0.9253,0.9447,0.9185,0.9643,0.8644,0.8227,0.8985,0.789,0.7367,0.8387,0.8035,0.969,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
verified-384-ge3of5-t0-3-high-n5,45,0.9028,0.875,0.9253,0.9447,0.9185,0.9643,0.8644,0.8227,0.8985,0.789,0.7367,0.8387,0.8035,0.969,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
verified-384-ge3of5-t0-3-high-n5,50,0.9028,0.875,0.9253,0.9447,0.9185,0.9643,0.8644,0.8227,0.8985,0.789,0.7367,0.8387,0.8035,0.969,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
verified-384-ge3of5-t0-3-high-n5,75,0.9052,0.8781,0.9273,0.9472,0.9211,0.966,0.8667,0.8245,0.9002,0.789,0.7367,0.8387,0.8035,0.969,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
verified-384-ge3of5-t0-3-high-n5,100,0.9076,0.8801,0.929,0.9497,0.9242,0.9679,0.869,0.8273,0.9027,0.789,0.7367,0.8387,0.8035,0.969,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
verified-384-ge3of5-t0-3-high-n5,125,0.9076,0.8801,0.929,0.9497,0.9242,0.9679,0.869,0.8273,0.9027,0.789,0.7367,0.8387,0.8035,0.969,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
verified-384-ge3of5-t0-3-high-n5,150,0.9076,0.8801,0.929,0.9497,0.9242,0.9679,0.869,0.8273,0.9027,0.789,0.7367,0.8387,0.8035,0.969,sparse_cross_grid,True,0.5770020533880903,487,zero_fraction_heuristic,
