temperature,pool_size,threshold,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
T0.3,5,1,0.5291,0.4041,0.7662,0.4816,0.5733,0.3608,0.4473,0.7159,0.8154,1022
T0.3,5,2,0.6055,0.5122,0.7403,0.5595,0.6435,0.4645,0.5515,0.6898,0.7883,779
T0.3,5,3,0.6516,0.5939,0.7217,0.607,0.6887,0.547,0.6344,0.6686,0.7722,655
T0.3,5,4,0.6625,0.6434,0.6827,0.6176,0.7033,0.5933,0.6844,0.6259,0.7372,572
T0.3,5,5,0.6595,0.6933,0.6289,0.6115,0.7009,0.6446,0.7383,0.5696,0.6857,489
T0.3,10,1,0.4971,0.3626,0.7904,0.451,0.5419,0.3225,0.4047,0.7421,0.8377,1175
T0.3,10,2,0.5658,0.4472,0.7699,0.521,0.6043,0.4034,0.4862,0.7184,0.818,928
T0.3,10,3,0.6007,0.5012,0.7495,0.5549,0.64,0.454,0.5406,0.6993,0.7983,806
T0.3,10,4,0.6219,0.5412,0.731,0.5773,0.6622,0.4928,0.5809,0.6789,0.7805,728
T0.3,10,5,0.6419,0.5791,0.7199,0.5965,0.6793,0.5312,0.6195,0.6671,0.7707,670
T0.3,10,6,0.6501,0.6045,0.7032,0.6064,0.6892,0.5608,0.6448,0.6497,0.7527,627
T0.3,10,7,0.6578,0.6299,0.6883,0.6157,0.6957,0.5865,0.6693,0.6368,0.7383,589
T0.3,10,8,0.6618,0.6488,0.6753,0.6194,0.7022,0.602,0.6884,0.6239,0.7276,561
T0.3,10,9,0.6545,0.6779,0.6327,0.6116,0.6936,0.6308,0.7199,0.5788,0.6857,503
T0.3,10,10,0.6379,0.7133,0.577,0.591,0.6821,0.665,0.755,0.5244,0.6331,436
T0.3,30,1,0.433,0.294,0.8219,0.3922,0.4767,0.259,0.3301,0.7761,0.8656,1507
T0.3,30,2,0.5009,0.3654,0.7959,0.4571,0.5422,0.3239,0.406,0.7469,0.8439,1174
T0.3,30,3,0.5276,0.3983,0.7811,0.4825,0.5677,0.3569,0.4383,0.7278,0.8313,1057
T0.3,30,4,0.5561,0.4329,0.7774,0.512,0.5966,0.3903,0.4727,0.7257,0.8277,968
T0.3,30,5,0.5758,0.4578,0.7755,0.5323,0.6159,0.4149,0.4975,0.7225,0.8252,913
T0.3,30,6,0.5948,0.4853,0.7681,0.5531,0.636,0.4423,0.5245,0.7157,0.8195,853
T0.3,30,7,0.5994,0.4946,0.7607,0.5579,0.6378,0.4509,0.5333,0.7092,0.8096,829
T0.3,30,8,0.6124,0.5125,0.7607,0.5712,0.65,0.4688,0.5516,0.7092,0.8096,800
T0.3,30,9,0.6182,0.5224,0.757,0.5759,0.656,0.4753,0.5614,0.7052,0.8078,781
T0.3,30,10,0.629,0.5399,0.7532,0.587,0.6685,0.4959,0.578,0.7003,0.8042,752
T0.3,30,11,0.6317,0.5529,0.7365,0.5898,0.6705,0.5071,0.5923,0.6851,0.7868,718
T0.3,30,12,0.6375,0.5653,0.731,0.5959,0.6755,0.5195,0.6042,0.6797,0.7825,697
T0.3,30,13,0.6426,0.5767,0.7254,0.6,0.6809,0.5303,0.6168,0.6735,0.7764,678
T0.3,30,14,0.6429,0.5808,0.7199,0.5988,0.6811,0.5338,0.6197,0.6661,0.7711,668
T0.3,30,15,0.6482,0.5908,0.718,0.6043,0.6864,0.544,0.6311,0.6649,0.7701,655
T0.3,30,16,0.6492,0.5975,0.7106,0.6057,0.6885,0.551,0.6367,0.6569,0.7635,641
T0.3,30,17,0.6512,0.6051,0.705,0.6091,0.6911,0.5595,0.6457,0.6531,0.7581,628
T0.3,30,18,0.6568,0.619,0.6994,0.6164,0.6949,0.5747,0.6577,0.6472,0.75,609
T0.3,30,19,0.6578,0.6284,0.6902,0.6174,0.697,0.5853,0.6672,0.6397,0.7432,592
T0.3,30,20,0.6601,0.6342,0.6883,0.6196,0.6987,0.591,0.6736,0.6378,0.7414,585
T0.3,30,21,0.6637,0.6456,0.6827,0.6237,0.7042,0.6018,0.6856,0.6314,0.7362,570
T0.3,30,22,0.6661,0.6519,0.6809,0.6252,0.706,0.6066,0.6918,0.6294,0.7343,563
T0.3,30,23,0.6642,0.657,0.6716,0.6222,0.7041,0.6118,0.6964,0.6206,0.7241,551
T0.3,30,24,0.6605,0.6605,0.6605,0.6196,0.6986,0.6149,0.7002,0.6085,0.7158,539
T0.3,30,25,0.6616,0.6724,0.6512,0.6197,0.7007,0.6255,0.7128,0.598,0.7079,522
T0.3,30,26,0.6545,0.6779,0.6327,0.6132,0.6938,0.6297,0.7191,0.5792,0.6878,503
T0.3,30,27,0.6537,0.6893,0.6215,0.6093,0.6935,0.6406,0.7315,0.5672,0.679,486
T0.3,30,28,0.656,0.7091,0.6104,0.6104,0.6969,0.6605,0.7526,0.5566,0.6681,464
