phase,condition,run,buffer_m,f1,precision,recall
2c,plus-hp,1,10,0.3231,0.2803,0.3814
2c,plus-hp,1,20,0.6201,0.5379,0.732
2c,plus-hp,1,30,0.7162,0.6212,0.8454
2c,plus-hp,1,40,0.7511,0.6515,0.8866
2c,plus-hp,1,50,0.7686,0.6667,0.9072
2c,pure-positive-canon,1,10,0.2578,0.2266,0.299
2c,pure-positive-canon,1,20,0.6133,0.5391,0.7113
2c,pure-positive-canon,1,30,0.6489,0.5703,0.7526
2c,pure-positive-canon,1,40,0.7022,0.6172,0.8144
2c,pure-positive-canon,1,50,0.7378,0.6484,0.8557
2c,scale-4,1,10,0.2213,0.1884,0.268
2c,scale-4,1,20,0.5617,0.4783,0.6804
2c,scale-4,1,30,0.6128,0.5217,0.7423
2c,scale-4,1,40,0.6809,0.5797,0.8247
2c,scale-4,1,50,0.7234,0.6159,0.8763
2c,scale-8,1,10,0.2906,0.2482,0.3505
2c,scale-8,1,20,0.5726,0.4891,0.6907
2c,scale-8,1,30,0.641,0.5474,0.7732
2c,scale-8,1,40,0.6923,0.5912,0.8351
2c,scale-8,1,50,0.7179,0.6131,0.866
2c-exp,pure-positive-2hp,1,10,0.2424,0.209,0.2887
2c-exp,pure-positive-2hp,1,20,0.5714,0.4925,0.6804
2c-exp,pure-positive-2hp,1,30,0.6494,0.5597,0.7732
2c-exp,pure-positive-2hp,1,40,0.7186,0.6194,0.8557
2c-exp,pure-positive-2hp,1,50,0.7359,0.6343,0.8763
2c-exp,pure-positive-4hp,1,10,0.2969,0.2576,0.3505
2c-exp,pure-positive-4hp,1,20,0.5502,0.4773,0.6495
2c-exp,pure-positive-4hp,1,30,0.6638,0.5758,0.7835
2c-exp,pure-positive-4hp,1,40,0.7249,0.6288,0.8557
2c-exp,pure-positive-4hp,1,50,0.7511,0.6515,0.8866
2c-exp,pure-positive-canon,1,10,0.2578,0.2266,0.299
2c-exp,pure-positive-canon,1,20,0.6133,0.5391,0.7113
2c-exp,pure-positive-canon,1,30,0.6489,0.5703,0.7526
2c-exp,pure-positive-canon,1,40,0.7022,0.6172,0.8144
2c-exp,pure-positive-canon,1,50,0.7378,0.6484,0.8557
2d-T1,minimal,1,10,0.3231,0.2803,0.3814
2d-T1,minimal,1,20,0.6201,0.5379,0.732
2d-T1,minimal,1,30,0.7162,0.6212,0.8454
2d-T1,minimal,1,40,0.7511,0.6515,0.8866
2d-T1,minimal,1,50,0.7686,0.6667,0.9072
2d-T1,terse,1,10,0.2251,0.194,0.268
2d-T1,terse,1,20,0.5714,0.4925,0.6804
2d-T1,terse,1,30,0.6407,0.5522,0.7629
2d-T1,terse,1,40,0.6926,0.597,0.8247
2d-T1,terse,1,50,0.7446,0.6418,0.8866
2d-T1,verbose,1,10,0.3022,0.2656,0.3505
2d-T1,verbose,1,20,0.5778,0.5078,0.6701
2d-T1,verbose,1,30,0.6311,0.5547,0.732
2d-T1,verbose,1,40,0.7111,0.625,0.8247
2d-T1,verbose,1,50,0.7111,0.625,0.8247
2d-T2,minimal,1,10,0.5063,0.4286,0.6186
2d-T2,minimal,1,20,0.6582,0.5571,0.8041
2d-T2,minimal,1,30,0.7004,0.5929,0.8557
2d-T2,minimal,1,40,0.7089,0.6,0.866
2d-T2,minimal,1,50,0.7257,0.6143,0.8866
2d-T2,terse,1,10,0.45,0.3776,0.5567
2d-T2,terse,1,20,0.6,0.5035,0.7423
2d-T2,terse,1,30,0.6417,0.5385,0.7938
2d-T2,terse,1,40,0.6667,0.5594,0.8247
2d-T2,terse,1,50,0.6667,0.5594,0.8247
2d-T2,verbose,1,10,0.3805,0.3333,0.4433
2d-T2,verbose,1,20,0.5487,0.4806,0.6392
2d-T2,verbose,1,30,0.6637,0.5814,0.7732
2d-T2,verbose,1,40,0.6903,0.6047,0.8041
2d-T2,verbose,1,50,0.6903,0.6047,0.8041
2e,config-default,1,10,0.3231,0.2803,0.3814
2e,config-default,1,20,0.6201,0.5379,0.732
2e,config-default,1,30,0.7162,0.6212,0.8454
2e,config-default,1,40,0.7511,0.6515,0.8866
2e,config-default,1,50,0.7686,0.6667,0.9072
2e,canonical-first,1,10,0.3448,0.2963,0.4124
2e,canonical-first,1,20,0.5776,0.4963,0.6907
2e,canonical-first,1,30,0.6552,0.563,0.7835
2e,canonical-first,1,40,0.6897,0.5926,0.8247
2e,canonical-first,1,50,0.7155,0.6148,0.8557
2e,canonical-last,1,10,0.2957,0.2556,0.3505
2e,canonical-last,1,20,0.6087,0.5263,0.7216
2e,canonical-last,1,30,0.6957,0.6015,0.8247
2e,canonical-last,1,40,0.7217,0.6241,0.8557
2e,canonical-last,1,50,0.7304,0.6316,0.866
2e,random,1,10,0.2414,0.2074,0.2887
2e,random,1,20,0.4741,0.4074,0.567
2e,random,1,30,0.6034,0.5185,0.7216
2e,random,1,40,0.6552,0.563,0.7835
2e,random,1,50,0.6552,0.563,0.7835
